TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
1JANATAMF,2.7,2.7,2.6,2.7,2.6,23,0.078,29278
1STPRIMFMF,19.7,19.9,19.2,19.7,19.8,412,7.762,396085
AAMRANET,16.8,17.7,16.4,16.8,17.2,227,2.181,129534
AAMRATECH,10.7,11,10.6,10.7,10.7,14,0.038,3506
ABB1STMF,2.6,2.7,2.5,2.6,2.7,81,2.35,904101
ABBANK,4.2,4.2,4.1,4.2,4.2,92,1.182,286732
ACFL,18.1,18.5,17.9,18.1,17.8,27,1.021,56663
ACI,196,197,191.8,196,194.8,356,10.095,51616
ACIFORMULA,128.8,128.8,125,128.1,128.5,72,0.444,3485
ACMELAB,69.1,69.9,68.6,69.1,69.3,522,8.333,120682
ACMEPL,15.8,15.9,15.1,15.8,15.6,708,23.087,1484692
ACTIVEFINE,6,6.1,5.9,5.9,5.9,36,0.276,46760
ADNTEL,55.7,55.7,53.6,54.9,54.8,283,4.646,85278
ADVENT,13.1,13.3,12.7,13.1,13.3,232,2.822,217898
AFCAGRO,5.1,5.2,4.9,5.1,4.9,40,0.147,29235
AFTABAUTO,33.2,33.5,32.4,33.2,33.1,521,11.797,358346
AGNISYSL,20.5,20.6,19.5,20.3,20.3,339,5.667,282479
AGRANINS,21.6,21.9,21.1,21.2,21.4,23,0.48,22349
AIBL1STIMF,3.4,3.4,3.3,3.4,3.4,23,0.15,44392
AIL,42.1,42.6,40.2,41.8,41.4,454,6.347,154384
AL-HAJTEX,143.2,143.9,137.4,143.2,140.4,1396,29.448,206828
ALARABANK,15.5,16,15.1,15.5,15.5,63,0.656,42813
ALIF,4.1,4.2,4,4.1,4.1,55,0.204,50332
ALLTEX,13.2,13.4,13.2,13.2,13.4,49,0.293,22111
AMANFEED,22.5,22.7,22,22.5,22.4,138,2.245,100311
AMBEEPHA,716.5,719.1,690.3,708,706.9,13,0.093,131
AMCL(PRAN),202,204.5,200.7,201.8,202.9,82,0.34,1683
ANLIMAYARN,20.3,20.5,18.7,20.3,19.1,38,0.347,17173
ANWARGALV,88.4,88.8,83.2,88.4,85.4,2869,47.322,548932
AOL,13.7,13.8,13.5,13.7,13.7,96,1.678,122989
APEXFOODS,217.5,219.8,210.2,216.5,215.9,126,1.63,7588
APEXFOOT,175.5,177.9,172,175.5,176.9,453,5.858,33650
APEXSPINN,165.5,166,159.8,164.7,163.7,409,12.563,76405
APEXTANRY,57,59.6,56,56.8,57.2,58,0.476,8377
APOLOISPAT,2,2.1,2,2,2,29,0.138,68053
ARAMIT,183.4,184.9,179.9,183.3,180.9,30,0.236,1299
ARAMITCEM,8.7,9,8.6,8.9,9,11,0.048,5409
ARGONDENIM,17.2,17.4,16.9,17.2,17.3,196,6.69,391043
ASIAINS,27.1,27.2,26.7,27.1,27.1,50,0.456,16879
ASIAPACINS,30.1,30.9,30,30.1,30.6,36,0.323,10737
ASIATICLAB,49,49.4,46.2,48.6,48.7,798,18.475,387228
ATCSLGF,0,0,0,7.5,7.5,0,0,0
ATLASBANG,52,56.7,51.6,52.5,53.3,15,0.053,1010
AZIZPIPES,42.7,44.9,40.4,41.9,44.3,137,0.545,13189
BANGAS,131.2,132.3,126.5,131.2,130.5,1116,28.211,217280
BANKASIA,17.9,18,17.8,17.9,18,85,7.647,425861
BARKAPOWER,6.8,6.9,6.6,6.8,6.7,70,0.746,111115
BATASHOE,809.5,810,790,809.7,800,23,0.123,152
BATBC,244.8,247.9,242.8,244.8,247,590,8.98,36759
BAYLEASING,2.7,2.9,2.7,2.7,2.9,78,0.449,162160
BBS,9.1,9.2,8.9,9.1,9.1,163,2.125,234653
BBSCABLES,15,15,14.3,14.8,14.8,184,2.559,175017
BDAUTOCA,128.8,129.7,122,128.8,125.7,364,4.008,31821
BDCOM,24.9,25.2,24.1,24.9,24.6,381,8.078,325705
BDFINANCE,13.1,13.1,12.3,12.4,12.7,92,1.587,127458
BDLAMPS,130.8,132,128.3,130.8,128.3,98,0.621,4799
BDSERVICE,0,0,0,5.2,5.2,0,0,0
BDTHAI,11.2,11.3,10.9,11.2,11.2,416,7.605,686356
BDTHAIFOOD,14.2,14.5,13.9,14.2,14.4,1367,33.038,2330965
BDWELDING,14.2,14.4,12,14.2,13.2,802,3.967,292631
BEACHHATCH,48.2,49.4,46,48.2,47.3,912,16.436,347044
BEACONPHAR,101.7,102.9,100.7,101.7,102.1,325,5.827,57430
BENGALWTL,17.3,17.3,16.8,17.2,17,69,0.569,33346
BERGERPBL,1390.3,1400,1386.5,1390.3,1394.8,122,1.762,1266
BESTHLDNG,13.4,13.6,13.2,13.4,13.6,295,2.633,196925
BEXIMCO,0,0,0,110.1,110.1,0,0,0
BGIC,30.8,31,30.1,30.8,30.5,104,1.072,35158
BIFC,1.7,1.8,1.7,1.7,1.8,12,0.03,17454
BNICL,43.6,43.8,42.7,43.6,43.9,169,4.082,94461
BPML,24.4,26,24.2,24.4,24.7,75,0.541,22067
BPPL,14.8,15.1,13.7,14.8,14.1,1028,25.444,1768447
BRACBANK,63.8,64.8,63.3,63.8,63.9,376,16.917,265477
BSC,104.7,105.4,103.6,104.7,104.3,1200,56.756,542467
BSCPLC,125.3,126.2,123.2,125.3,126.4,142,2.633,20995
BSRMLTD,75,75.4,73.7,75,75.1,130,1.518,20364
BSRMSTEEL,63.7,63.8,61,63,62.4,166,1.154,18535
BXPHARMA,107,107.5,106.5,107,107.3,545,24.259,226868
CAPITECGBF,6.9,7,6.7,6.9,6.9,261,4.797,703053
CAPMBDBLMF,10.6,11.3,10.4,10.6,11.3,469,12.827,1193754
CAPMIBBLMF,7.8,7.8,7.5,7.8,7.7,160,3.359,436740
CENTRALINS,38.7,38.7,36.3,37.9,38,211,3.51,94227
CENTRALPHL,8.5,8.8,8.2,8.5,8.6,237,2.768,330050
CITYBANK,24.1,24.1,23.7,23.9,24,459,23.697,990985
CITYGENINS,80,80.5,79.2,80,79.8,620,69.293,867019
CLICL,51.2,51.3,49.9,51.2,50.9,331,7.926,156413
CNATEX,2.2,2.3,2.2,2.2,2.3,27,0.252,114060
CONFIDCEM,49.1,49.2,47.8,48.7,48.5,167,1.976,40779
CONTININS,23.6,24.1,23.2,23.6,23.8,188,2.97,126242
COPPERTECH,19.3,19.6,18.4,19.3,18.7,219,3.346,176675
CROWNCEMNT,44.9,46.8,44.7,44.9,46.6,278,1.36,30230
CRYSTALINS,52.3,52.3,48.6,51.3,50.3,577,12.504,249330
CVOPRL,148.8,150,142.5,148.8,147.7,933,20.679,140944
DACCADYE,18.9,19.1,18.6,18.9,18.6,80,0.904,47985
DAFODILCOM,35.3,36,34.1,35.3,34.9,125,1.022,29013
DBH,33.3,33.8,33,33.4,33.6,142,4.136,124465
DBH1STMF,7.1,7.2,6.7,7.1,6.8,399,12.159,1728989
DELTALIFE,64.2,65.3,63.9,64.2,65.1,217,2.415,37514
DELTASPINN,4.5,4.6,4.4,4.5,4.5,54,0.445,99223
DESCO,19.9,20.3,19.5,19.9,19.7,38,0.453,22840
DESHBANDHU,17.4,17.8,16.3,17.4,16.9,604,10.066,591869
DGIC,20.1,20.1,19.4,20,19.8,55,0.792,40165
DHAKABANK,11,11.1,10.9,11,11.1,116,2.35,213548
DHAKAINS,35.3,35.9,34.5,35.3,35,98,0.985,28090
DOMINAGE,28.9,29.1,28.4,28.9,28.9,1063,119.563,4165767
DOREENPWR,28.3,28.5,26.4,28.3,27,1095,15.709,572195
DSHGARME,114.7,116.5,105.1,114.7,108.4,713,14.086,126315
DSSL,8.5,8.6,8.2,8.5,8.4,299,6.978,833893
DULAMIACOT,131,132.9,125.3,130.7,130,77,0.778,6028
DUTCHBANGL,38.6,38.9,38.2,38.6,38.3,69,1.119,29077
EASTERNINS,49,49,45.8,48.4,48.1,94,0.996,20980
EASTLAND,18,18.4,17.9,18,18.4,103,0.803,44364
EASTRNLUB,2501.5,2520,2482,2501.5,2504.3,1715,51.651,20663
EBL,23.4,23.5,23.1,23.4,23.3,267,17.858,765889
EBL1STMF,3.6,3.7,3.3,3.4,3.6,66,0.611,178110
EBLNRBMF,2.5,2.6,2.5,2.5,2.5,50,0.734,293652
ECABLES,117.6,118.9,111.3,112.1,114,69,0.797,6911
EGEN,19.7,20,19.1,19.7,19.5,363,9.235,475016
EHL,72,72,70.1,71.2,70.9,274,3.632,51295
EIL,28.1,28.7,26.5,28.1,27.5,609,12.134,440364
EMERALDOIL,14.9,15.1,13.2,14.9,14,156,1.73,120909
ENVOYTEX,46.9,47.1,46.1,46.9,46.9,201,4.604,98724
EPGL,15.4,16,15,15.4,15.6,233,2.999,197367
ESQUIRENIT,20.7,20.8,19.8,20.7,20.7,111,1.162,57161
ETL,9.9,10,9.6,9.9,9.8,369,10.658,1081246
EXIM1STMF,2.8,2.9,2.8,2.8,2.9,8,0.204,72600
EXIMBANK,0,0,0,3,3,0,0,0
