TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
1JANATAMF,4.3,4.4,4.3,4.3,4.4,131,2.748,634469
1STPRIMFMF,42.6,44.4,42.5,42.6,43.7,640,26.741,614684
AAMRANET,36.3,37.3,35.9,36.3,36.6,990,20.553,562501
AAMRATECH,24.7,24.8,23.6,24.7,24.3,162,1.951,80012
ABB1STMF,4.5,4.6,4.4,4.4,4.5,264,7.835,1778104
ABBANK,11.5,11.7,10.5,11.5,10.8,4550,252.436,23030906
ACFL,20,21,19.2,20,19.7,341,9.438,460959
ACI,175.1,180,175.1,175.1,180.5,346,13.135,74970
ACIFORMULA,140.1,143.9,140.1,140.1,144.4,292,7.958,56565
ACMELAB,85.1,86.3,82.8,85.1,85.3,1299,42.244,499597
ACMEPL,19,19.5,19,19,19.5,1004,36.796,1926655
ACTIVEFINE,14.1,14.3,13.8,14.1,14.1,398,8.153,579798
ADNTEL,91.4,94.6,90.6,91.4,92.3,243,3.753,40836
ADVENT,26.5,26.9,25.4,26.5,26,1499,47.488,1816477
AFCAGRO,14.1,14.6,13.8,14.1,14.1,162,1.678,119347
AFTABAUTO,39.2,40.1,39.2,39.2,40.4,1259,40.749,1036528
AGNISYSL,33.1,33.9,32.6,33.1,32.4,2561,178.757,5370054
AGRANINS,33.2,33.6,32.5,32.8,32.9,88,1.257,38061
AIBL1STIMF,7.8,8,7.8,7.8,8,81,3.778,477826
AIL,104.3,105.2,99.1,104.3,101.8,3424,93.178,897338
AL-HAJTEX,126.8,131,126.3,127.2,130.2,293,10.737,84306
ALARABANK,25.5,26,25.5,25.5,25.8,25,0.2,7846
ALIF,10.4,10.9,10.2,10.4,10.5,921,27.306,2626020
ALLTEX,14.9,15.4,14.2,14.9,14.4,143,1.724,114796
AMANFEED,30,30.7,30,30,30.9,168,4.225,140669
AMBEEPHA,833.2,845,820.1,841.9,820.6,123,3.709,4433
AMCL(PRAN),251,251.9,248.7,249.6,251.8,138,2.038,8177
ANLIMAYARN,32.3,33.4,31.4,32.3,32.3,287,4.456,137114
ANWARGALV,132.4,137,131.5,132.4,135.5,1028,30.654,229744
AOL,22.1,22.8,22.1,22.1,22.7,520,16.783,755185
APEXFOODS,255.7,261.7,253.5,255.7,261.3,169,3.502,13598
APEXFOOT,248.4,250,241,246.6,248,205,3.616,14764
APEXSPINN,115.3,116.8,113,115.3,113.2,199,2.32,20374
APEXTANRY,90.8,92.6,90.8,90.8,93.6,99,1.952,21483
APOLOISPAT,5.6,6.2,5.6,5.6,5.7,400,6.353,1123826
ARAMIT,223.5,227,220,223.5,223.3,122,1.645,7349
ARAMITCEM,18.7,19.3,18.7,18.7,19.2,90,1.675,89526
