TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
1JANATAMF,3.2,3.3,3.2,3.2,3.2,49,1.808,560826
1STPRIMFMF,22.8,24.4,22.6,22.8,23.6,1014,32.091,1364796
AAMRANET,21.7,22.4,21.7,21.7,22.1,457,16.308,744037
AAMRATECH,14.1,15.1,13.6,14.1,15.1,208,1.876,128296
ABB1STMF,3.3,3.4,3.2,3.3,3.3,94,2.724,825329
ABBANK,5.7,5.9,5.7,5.7,5.8,221,5.223,905532
ACFL,19.6,20.2,19.4,19.6,19.8,139,4.456,225546
ACI,183,187.8,183,183.6,186.1,440,7.248,39263
ACIFORMULA,144.7,149.1,144.1,144.7,147.2,396,8.133,55468
ACMELAB,79.7,81.4,79.5,79.7,81.1,953,22.981,286485
ACMEPL,16.8,17.3,16.8,16.8,16.9,880,39.662,2336124
ACTIVEFINE,8.9,9.1,8.6,8.7,8.9,192,3.998,455840
ADNTEL,77.8,81,77.4,77.8,80.1,1172,24.507,308938
ADVENT,15.7,16.4,15.7,15.7,16.1,289,5.474,344994
AFCAGRO,8.1,8.5,7.9,8.1,8.4,93,1.302,159176
AFTABAUTO,37.3,38,36.8,37.1,37,402,9.937,266733
AGNISYSL,27.7,29.6,27.4,27.7,29.1,2203,84.69,2957099
AGRANINS,26.9,28.5,26.6,26.9,28.1,478,9.844,361100
AIBL1STIMF,4.3,4.6,4.3,4.3,4.5,135,2.296,522100
AIL,55.1,57.9,54.9,55.1,56.8,2175,73.519,1311702
AL-HAJTEX,156.7,159.7,153,156.7,153.9,1212,49.437,316371
ALARABANK,17,17.1,16.9,17,17,49,1.808,106432
ALIF,5.8,6,5.7,5.8,6,247,5.46,933810
ALLTEX,12.9,13.1,12.5,12.9,12.9,248,2.451,190678
AMANFEED,26.4,27.9,26.1,26.4,27.2,503,11.812,440458
AMBEEPHA,828,841.9,826,829.2,833.1,146,1.958,2355
AMCL(PRAN),230.1,247,230.1,232.7,242.1,175,2.97,12564
ANLIMAYARN,22.6,23.5,22,22.4,23,69,1.023,45038
ANWARGALV,78.5,82,78.1,78.5,80.6,1194,21.582,268611
AOL,16.3,17.1,16.3,16.3,16.8,445,9.273,559688
APEXFOODS,238.5,249.9,238,238.5,242.3,275,2.76,11467
APEXFOOT,228.5,238,227.2,228.5,232.1,544,8.348,35794
APEXSPINN,150.9,153.5,146.5,150.9,146.4,934,20.033,132540
APEXTANRY,76.4,79.3,76.1,76.4,78.3,165,1.763,22926
APOLOISPAT,3,3,2.9,2.9,2.9,92,0.569,196049
ARAMIT,231.6,244,229.2,231.6,236.5,453,7.206,30814
ARAMITCEM,12.5,13.1,12.2,12.4,12.7,82,0.459,36710
ARGONDENIM,18.8,19.7,18.5,18.8,19.4,428,13.291,696603
ASIAINS,28.6,29.7,28.5,28.6,29.4,297,5.102,176037
ASIAPACINS,35.3,36.1,35,35.2,36,93,1.656,47035
ASIATICLAB,54.1,55.4,54,54.1,54.3,1563,100.445,1841151
ATCSLGF,0,0,0,7.5,7.5,0,0,0
ATLASBANG,62.1,66.9,57.4,62.7,63.3,18,0.097,1542
AZIZPIPES,55,57.9,54.7,55.2,56.5,212,1.402,25169
BANGAS,126.4,134.6,125.1,126.4,130.4,1190,24.847,190456
BANKASIA,18.4,18.7,18.3,18.4,18.4,344,18.026,974677
BARKAPOWER,11.5,11.9,11.4,11.5,11.8,576,11.816,1018251
BATASHOE,877.5,884,870.1,879.4,878.3,38,0.44,500
BATBC,286.9,290.9,286.4,286.9,288.9,1445,25.253,87781
BAYLEASING,4.6,4.8,4.5,4.6,4.6,53,0.55,119372
BBS,12.2,12.9,12,12.2,12.3,1080,23.189,1858051
BBSCABLES,22.5,23.6,21.6,22.5,21.6,2382,91.452,4006363
BDAUTOCA,141.5,144.5,138.3,141.5,137.5,1766,35.175,248601
BDCOM,29.7,33,29.1,29.7,31.8,1879,56.531,1820608
BDFINANCE,10.4,10.9,10.4,10.4,10.8,182,3.487,331488
BDLAMPS,164.4,171,164.3,164.4,165.3,249,3.391,20512
BDSERVICE,0,0,0,5.2,5.2,0,0,0
BDTHAI,13.5,14,13.3,13.5,13.8,825,24.467,1801383
BDTHAIFOOD,15.2,16.1,15,15.2,15.9,739,19.014,1225134
BDWELDING,9.8,10.2,9.8,9.8,10,93,0.749,75956
