TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
1JANATAMF,3.1,3.1,3,3.1,3,138,2.738,891625
1STPRIMFMF,17.5,17.8,17.4,17.5,17.5,236,3.801,216261
AAMRANET,16.1,16.6,16.1,16.1,16.2,159,1.92,118693
AAMRATECH,12.8,13,12.8,12.9,12.8,62,0.62,48042
ABB1STMF,3.4,3.5,3.3,3.4,3.3,403,18.888,5535247
ABBANK,5.6,5.8,5.5,5.6,5.7,335,6.193,1102258
ACFL,17.8,18.3,17,17.6,18,12,0.062,3523
ACI,198,200.4,197.1,198,198,529,8.398,42295
ACIFORMULA,135.8,137,134,135.8,135.6,88,1.824,13391
ACMELAB,74.8,75,74.3,74.5,74.4,386,12.434,166584
ACMEPL,23.3,23.3,21.4,23.3,21.2,4115,263.753,11764549
ACTIVEFINE,7.1,7.2,6.8,7.1,6.8,132,2.005,283933
ADNTEL,58.3,58.6,56.7,58.3,57.2,446,10.474,180631
ADVENT,14,14.2,13.9,14,14.1,144,3.266,233217
AFCAGRO,7.5,7.6,7.3,7.4,7.5,73,0.534,71651
AFTABAUTO,28.2,28.4,27.9,28,27.9,158,2.531,90201
AGNISYSL,20.7,20.8,20.5,20.6,20.5,413,9.792,474804
AGRANINS,21,21.6,20.7,21,21.4,121,1.639,78737
AIBL1STIMF,4,4.2,3.9,4,4,79,3.723,925411
AIL,28.3,28.8,28.2,28.3,28.2,251,3.31,116654
AL-HAJTEX,115.6,117.4,110.9,115.6,110.8,1298,25.778,227153
ALARABANK,15,16.1,15,15,15.8,293,3.549,233671
ALIF,4.9,5,4.7,4.9,4.9,136,1.21,249368
ALLTEX,12.9,13.1,12.8,12.9,12.8,157,1.945,150600
AMANFEED,22.7,22.9,22.3,22.7,22.5,154,2.779,122392
AMBEEPHA,761,763,760.2,761.8,758.6,25,0.405,532
AMCL(PRAN),212,219.9,210.1,211.2,211.5,221,2.344,11039
ANLIMAYARN,19.2,19.9,19.1,19.2,19.2,55,0.165,8550
ANWARGALV,90.9,91.5,89.8,90.9,88.9,1041,24.463,269880
AOL,16,16.4,15.9,16,15.8,89,2.445,152620
APEXFOODS,227.9,229.7,224,227.2,224,136,1.398,6175
APEXFOOT,186,187.3,185,186,185.8,396,6.85,36773
APEXSPINN,243.1,247,232.5,243.1,234.7,1655,96.052,400493
APEXTANRY,76,78.1,74.5,76,74.5,1112,13.663,178495
APOLOISPAT,3.7,3.7,3.4,3.7,3.4,394,7.899,2148464
ARAMIT,165.4,170,165,165.4,165.5,91,0.666,4006
ARAMITCEM,11.4,11.6,10.9,11.4,10.8,25,0.231,20500
ARGONDENIM,16.7,16.9,16.5,16.7,16.5,216,4.905,293958
ASIAINS,40,40.6,39,39.3,39.5,1229,31.322,789034
ASIAPACINS,36.2,37.6,35.8,36,36.3,348,6.81,187790
ASIATICLAB,84.4,87.8,83.4,84.4,86.6,2468,148.904,1742928
ATLASBANG,73.8,73.8,71,73.8,67.1,102,2.411,32715
AZIZPIPES,48.1,49.3,46.2,48.1,47.1,90,0.975,20331
BANGAS,122,123.5,119.5,122,119.3,751,11.741,96099
BANKASIA,21.2,21.5,21,21.2,21.1,218,18.564,877298
BARKAPOWER,7.7,7.9,7.6,7.7,7.5,98,1.001,130033
BATASHOE,844,845,843,844,841.3,39,1.147,1359
BATBC,213.2,214.9,212.8,213.2,213.6,1104,16.623,77792
BAYLEASING,4.9,4.9,4.4,4.9,4.5,148,2.31,480356
BBS,11.5,11.6,11,11.5,11,726,23.86,2094671
BBSCABLES,19.2,19.4,18.8,19.2,18.8,684,29.879,1557441
BDAUTOCA,201.3,201.4,186.7,201.3,183.1,2907,101.573,517705
BDCOM,27.7,27.8,26.9,27.7,27.1,765,31.329,1140850
BDFINANCE,13.2,13.3,13,13,13.2,143,1.995,152343
BDLAMPS,143.5,144.9,141,143.5,139,330,3.622,25314
BDSERVICE,0,0,0,5.2,5.2,0,0,0
BDTHAI,12.7,12.8,11.9,12.7,11.7,1241,35.825,2867426
BDTHAIFOOD,17.9,18.2,16.7,17.9,16.6,2036,63.472,3606674
BDWELDING,15.9,16.6,15.8,15.9,16.1,189,1.524,95174
BEACHHATCH,30.5,30.7,30.1,30.3,30.2,242,5.285,174036
BEACONPHAR,97.9,99.5,97.2,97.9,97.5,754,19.045,194464
BENGALWTL,19.5,19.5,18.5,19.5,18.4,708,13.419,698255
BERGERPBL,1385,1394,1384.4,1385.8,1381.3,100,1.177,849
BESTHLDNG,12.7,12.8,12.5,12.7,12.7,205,2.397,189542
BEXIMCO,0,0,0,110.1,110.1,0,0,0
BGIC,32.7,33.3,32.7,33,33.1,72,0.801,24313
BIFC,5.9,5.9,5.4,5.9,5.4,93,1.986,341989
BNICL,68.6,70.7,67.6,68.6,68.6,1651,75.446,1096617
BPML,28.2,28.4,27.8,28.2,27.4,110,0.747,26660
BPPL,14.5,14.6,14.2,14.5,14.2,574,16.88,1169622
BRACBANK,69.1,70,68.2,69.1,68.2,984,47.678,690614
BSC,107.1,108,106.9,107.1,107.1,480,14.024,130651
BSCPLC,136,136.5,134.5,136,134.7,179,5.313,39107
BSRMLTD,81.5,83,80.6,81.5,81.5,65,3.16,38694
BSRMSTEEL,68.8,69.4,68,68.5,68,154,5.716,83179
BXPHARMA,115.5,116.2,113.8,115.4,114,564,23.108,200462
CAPITECGBF,6.6,6.7,6.5,6.6,6.5,142,1.894,287692
CAPMBDBLMF,11.6,11.9,11.3,11.6,11.8,498,23.425,2018564
CAPMIBBLMF,8.4,8.6,8.2,8.4,8.5,109,6.067,723688
CENTRALINS,38.6,39.5,38.3,38.6,38.6,447,11.735,302536
CENTRALPHL,9.2,9.2,8.9,9.1,8.9,190,3.771,416132
CITYBANK,30.7,30.8,30,30.7,30,990,68.74,2250502
CITYGENINS,99.7,102.3,98.9,99.7,99.1,450,39.016,391724
CLICL,62.1,62.7,60.4,62.1,61.3,1506,79.922,1296232
CNATEX,3.8,3.8,3.5,3.8,3.5,224,3.106,840567
CONFIDCEM,60.1,60.8,59.2,60.1,59.2,292,9.648,160883
CONTININS,24.9,25.2,24.5,24.9,24.6,250,5.573,224076
COPPERTECH,20,20.2,19.4,20,19.4,287,5.744,289091
CROWNCEMNT,50,50,48.2,49.3,48.7,37,0.236,4794
CRYSTALINS,79.3,79.8,78,79.3,78.7,620,14.971,189702
CVOPRL,150.2,151.5,148.6,150.2,149,891,18.934,125965
DACCADYE,16.4,16.7,16,16.5,16.4,145,1.965,120285
DAFODILCOM,91.1,94,89,91.1,90.2,1636,73.881,807876
DBH,37.1,37.2,37,37.1,37.2,174,4.086,110271
DBH1STMF,4.6,4.8,4.6,4.6,4.7,60,0.976,210368
DELTALIFE,71.4,72.1,71.3,71.4,72.1,294,19.01,266226
DELTASPINN,5.7,5.8,5.7,5.7,5.7,67,0.613,107207
DESCO,23.4,23.4,23.2,23.2,23.2,55,0.54,23210
DESHBANDHU,16.7,17,16.1,16.7,16.2,473,10.085,606794
DGIC,20.2,21.3,19.9,19.9,20,99,1.167,58369
DHAKABANK,12.1,12.3,12,12.1,12.1,400,17.053,1407198
DHAKAINS,37.5,37.7,37,37.2,37.1,146,3.094,83108
DOMINAGE,48.7,50.4,48,48.7,48.2,2503,141.751,2868387
DOREENPWR,27.2,27.4,26.7,27.2,26.8,516,11.904,440631
DSHGARME,108.3,109,106.8,108.3,106.9,311,3.236,29965
DSSL,9.3,9.4,9,9.3,9,524,17.526,1899669
DULAMIACOT,115.8,119.7,115,115.8,115.9,92,0.505,4354
DUTCHBANGL,41.3,41.6,41,41.3,41.3,122,3.293,79864
EASTERNINS,51.7,52.2,50.9,51.7,50.8,196,3.389,65426
EASTLAND,20,20.4,19.9,20.1,20.1,344,7.427,369837
EASTRNLUB,1561.8,1579,1560,1561.8,1553.6,452,3.99,2543
EBL,26.3,26.6,26.2,26.3,26.2,378,21.58,820473
EBL1STMF,3.7,3.9,3.5,3.7,3.7,146,2.419,673483
EBLNRBMF,3,3.1,3,3,3,203,5.262,1750957
ECABLES,124.6,126.6,123.3,124.6,123.8,221,4.075,32719
EGEN,21,21.4,20.8,21,20.9,574,19.384,920650
EHL,75.6,75.7,74.9,75.4,75.1,215,5.804,77161
EIL,26.8,27.2,26.6,26.8,26.8,429,8.676,323140
EMERALDOIL,15,15.4,15,15,14.9,188,1.884,124132
ENVOYTEX,49,49,47.5,48.8,47.6,105,2.232,46188
EPGL,16.2,16.3,15.7,16.2,15.8,272,4.543,284121
ESQUIRENIT,19.6,20.3,19.5,19.6,19.8,125,1.849,93631
ETL,9.4,9.5,9.3,9.4,9.3,224,4.318,459142
EXIM1STMF,3.4,3.5,3.4,3.4,3.4,73,3.254,955019
EXIMBANK,0,0,0,3,3,0,0,0
FAMILYTEX,3.3,3.3,3.2,3.3,3,337,7.704,2338301
FARCHEM,16.2,16.3,15.4,16.1,15.3,419,5.454,343990
FAREASTFIN,2.3,2.3,1.9,2.3,2.1,459,14.136,7056007
FAREASTLIF,20.6,21.3,20.5,20.9,20.5,19,0.086,4103
FASFIN,2.3,2.3,1.9,2.3,2.1,367,11.807,5959224
FBFIF,3.1,3.2,3,3.1,3,80,1.418,457124
FEDERALINS,20,20.2,19.7,20,20,72,3.106,155279
FEKDIL,14,14.1,13.9,14,13.9,297,5.32,381038
FINEFOODS,494.8,501,491,494.8,494.7,576,27.589,55624
FIRSTFIN,5,5,4.4,5,4.6,86,0.738,149417
FIRSTSBANK,0,0,0,1.9,1.9,0,0,0
FORTUNE,13.8,14,13.5,13.8,13.7,141,1.562,113572
FUWANGCER,12.1,12.2,11.6,12.1,11.6,460,10.152,849300
FUWANGFOOD,10,10.1,9.8,10,9.9,171,2.945,295009
GBBPOWER,8.4,8.5,8.2,8.2,8.3,65,0.707,84559
GEMINISEA,112.5,114,111.7,112.5,111.7,213,2.291,20378
GENEXIL,25.3,25.7,25.1,25.3,25.1,538,16.346,643863
GENNEXT,3.6,3.7,3.3,3.6,3.4,396,7.815,2204782
GHAIL,12.2,12.4,11.8,12.2,11.8,551,15.243,1253902
GHCL,19,19.2,18.5,18.8,19,150,1.481,78872
GIB,0,0,0,1.7,1.7,0,0,0
GLDNJMF,5.8,6,5.8,5.8,5.8,94,0.927,157486
GLOBALINS,28,28.6,27.8,28,28,185,4.736,168349
GOLDENSON,12.1,12.3,11.3,12.1,11.4,1183,35.718,2993784
GP,239.3,241.4,237.9,238.3,239.2,1360,32.398,135844
GPHISPAT,15.8,16,15.6,15.8,15.6,281,3.9,247373
GQBALLPEN,593.2,611.9,591.3,593.2,593.5,2458,99.633,165063
GRAMEENS2,12.4,12.4,12,12.3,12.2,52,0.612,50070
GREENDELMF,3.5,3.5,3.2,3.4,3.3,33,0.085,25774
GREENDELT,52,52.6,51.5,51.7,51.6,86,2.104,40678
GSPFINANCE,4.8,4.8,4.4,4.8,4.4,107,1.777,383461
HAKKANIPUL,82.9,84,79.1,82.9,78.9,2580,80.081,981655
HAMI,166.9,169.9,165.5,166,165.7,516,8.748,52328
HEIDELBCEM,235,235,230,231.7,231.3,284,7.973,34383
HFL,12.9,13.2,12.5,12.9,13.1,218,3.725,287895
HRTEX,18.9,19.4,18.5,18.7,18.5,205,0.693,36496
HWAWELLTEX,40.4,40.9,40.2,40.4,40.2,142,2.73,67564
IBNSINA,312.4,316.1,310.1,312.4,311.3,179,2.232,7154
IBP,13.1,13.4,12.8,13.1,12.8,515,18.266,1391883
ICB,36.9,37.2,36.7,36.9,37.1,207,3.191,86519
ICB3RDNRB,4.4,4.4,4.3,4.4,4.4,19,0.226,51799
ICBAGRANI1,6.5,6.6,6.4,6.5,6.5,29,0.186,28600
ICBAMCL2ND,5.6,5.9,5.5,5.6,5.7,78,1.688,302029
ICBEPMF1S1,5.4,5.4,5.2,5.4,5.3,148,6.143,1156741
ICBIBANK,3.1,3.1,3,3,2.9,67,0.208,68927
ICBSONALI1,4.6,4.6,4.4,4.5,4.5,56,0.986,219025
ICICL,21.1,21.3,20.9,21.1,21.2,249,4.7,222952
IDLC,40,40,39.6,39.9,39.6,150,8.883,223058
IFADAUTOS,21.1,21.4,20.4,21.1,20.5,360,5.815,279302
IFIC,5.2,5.2,5.1,5.2,5.1,456,12.246,2393323
IFIC1STMF,4.1,4.2,3.9,4.1,4,430,15.187,3765650
IFILISLMF1,4,4.1,3.9,3.9,4,79,1.161,295752
ILFSL,2.5,2.5,2.1,2.5,2.3,431,13.458,5976775
INDEXAGRO,63.4,63.8,62.1,63.4,63.1,94,1.722,27212
INTECH,39.6,40,37.7,39.6,37.4,2258,66.008,1697888
INTRACO,17.9,18,17.6,17.9,17.7,102,1.887,106008
IPDC,18.5,18.5,18.2,18.5,18.2,467,15.429,836791
ISLAMIBANK,38.3,38.9,38.2,38.3,38,509,8.197,213775
ISLAMICFIN,10.8,10.9,10.5,10.7,10.3,139,3.053,287225
ISLAMIINS,37,37.6,36.9,37.4,37.1,45,0.956,25600
ISNLTD,74.5,76.6,73.4,74.5,74.5,1162,29.472,393184
ITC,37.8,38.3,37.7,37.8,37.7,298,6.786,178893
JAMUNABANK,22.6,22.7,22.4,22.6,22.5,274,21.124,935018
JAMUNAOIL,171.1,171.7,170.6,171.1,170.5,114,3.699,21654
JANATAINS,32.9,33.5,31.4,32.9,31.6,1625,56.028,1733143
JHRML,42.5,42.5,41.8,42.3,42.1,301,2.437,57871
JMISMDL,119.5,120.9,117,118.8,116.2,60,0.551,4612
JUTESPINN,213.5,219,213,213.5,212.4,46,0.463,2165
KARNAPHULI,29.6,30.1,29.5,29.6,29.6,243,5.04,169537
KAY&amp;QUE,460.3,465,455.4,460.3,454.2,1905,52.983,115167
KBPPWBIL,49.3,50.2,47.7,49.3,47.7,4847,214.222,4399534
KDSALTD,46.9,47.1,43,46.9,42.9,3508,137.1,3028215
KEYACOSMET,5,5.1,4.9,5,5,240,4.905,981575
KOHINOOR,506.3,509,506,506.1,505.3,43,0.766,1512
KPCL,10.5,10.6,10.4,10.5,10.4,125,2.581,245917
KPPL,15.4,15.9,15.3,15.4,15.6,644,9.309,598854
KTL,9.2,9.5,9.1,9.2,9.3,209,2.525,273148
LANKABAFIN,14.5,14.6,14.4,14.5,14.5,260,5.803,400217
LEGACYFOOT,65.1,66.5,61,65.1,60.7,2242,62.648,982797
LHB,51.4,51.5,50.7,51.4,50.9,785,24.671,481998
LIBRAINFU,627.1,633,623,627.1,625.5,138,1.532,2442
