TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
1JANATAMF,3.1,3.1,3,3.1,3,55,1.652,536984
1STPRIMFMF,19.5,19.6,18.9,19.4,19.1,292,6.243,323173
AAMRANET,16.1,16.6,16,16.1,16.3,152,2.316,142991
AAMRATECH,12.9,13.1,12.8,12.9,13,91,0.405,31475
ABB1STMF,3.2,3.2,3.1,3.2,3.1,138,5.652,1792898
ABBANK,5.5,5.7,5.5,5.5,5.6,288,4.493,812433
ACFL,18.2,18.4,17.2,18.2,18,52,0.561,31317
ACI,204,205.7,202.5,203.2,203.8,414,11.652,57331
ACIFORMULA,141,148,141,142.3,143.9,325,6.565,45843
ACMELAB,75.8,76.2,75.3,75.8,75.3,324,12.308,162643
ACMEPL,23.2,24.2,22.5,23.2,22.5,2802,94.325,4020142
ACTIVEFINE,6.7,6.7,6.5,6.6,6.6,91,0.797,120458
ADNTEL,58.2,59.8,58,58.1,58.8,556,12.864,219942
ADVENT,13.4,13.8,13.3,13.4,13.6,230,3.933,292929
AFCAGRO,6.7,6.7,6.5,6.6,6.6,34,0.194,29608
AFTABAUTO,27.8,28,27.6,27.8,27.7,141,2.278,81839
AGNISYSL,24.5,25,24.3,24.5,24.7,768,32.984,1337520
AGRANINS,22.9,23.6,22,22.9,23.7,138,1.916,83787
AIBL1STIMF,4,4.1,3.9,4,4,32,1.993,501505
AIL,30.2,30.2,27.6,30.2,27.5,466,7.2,243366
AL-HAJTEX,98.2,105.6,97.3,98.2,105.4,2765,53.267,531166
ALARABANK,14.7,15,14.7,14.7,14.9,61,0.465,31547
ALIF,5.1,5.1,4.5,5.1,4.7,558,11.886,2361422
ALLTEX,15,15,14.4,15,14.3,234,4.7,315808
AMANFEED,26.8,27.2,26,26.8,26.2,678,19.725,739779
AMBEEPHA,762,763,745,762,752.7,91,1.076,1428
AMCL(PRAN),212.8,215.8,211.8,213.2,212.7,106,3.426,16040
ANLIMAYARN,19.6,20.6,19.4,19.6,19.9,81,0.592,29330
ANWARGALV,101.5,105.8,101,101.5,100.4,4258,157.596,1525907
AOL,15.5,16.1,15.4,15.5,15.7,250,4.83,307917
APEXFOODS,264.1,278,262,264.1,274.4,786,16.801,62163
APEXFOOT,200.1,205,199,200.1,202.6,1482,32.351,159608
APEXSPINN,369.1,380.9,361.5,369.1,369,1738,66.949,181665
APEXTANRY,101.3,107,99.9,101.3,99.9,1639,33.779,323802
APOLOISPAT,3.2,3.3,3.1,3.2,3.2,157,1.518,474870
ARAMIT,171.2,183.4,169.1,172,173.3,251,2.712,15761
ARAMITCEM,10.8,11.2,10,10.7,10.5,42,0.191,17691
ARGONDENIM,16.6,16.9,16.4,16.7,16.6,262,6.116,365514
ASIAINS,39.8,40.6,39.6,39.8,40.4,530,16.301,407521
ASIAPACINS,38.6,39,37.6,38.2,39.2,112,2.023,52975
ASIATICLAB,109.1,115,107.3,109.1,111,2386,148.935,1333518
ATLASBANG,68,70.6,67.1,68.1,68.3,83,0.453,6589
AZIZPIPES,56.6,57.8,53.4,56.6,54,421,5.186,92155
BANGAS,134.5,138.3,133.5,134.5,133.5,1118,20.944,154702
BANKASIA,20.9,22.1,20.5,20.9,21.9,1369,195.675,9188506
BARKAPOWER,7.4,7.6,7.4,7.4,7.4,162,2.912,392109
BATASHOE,809,831,790,809,818.7,176,1.225,1509
BATBC,225.1,226.8,223,225.1,225.4,1017,17.971,80072
BAYLEASING,4.7,4.8,4.5,4.6,4.5,58,0.451,97688
BBS,11.7,11.8,11.1,11.7,11.4,657,15.553,1352357
BBSCABLES,19.7,20,18.9,19.7,19.5,1310,45.891,2358989
BDAUTOCA,225.5,237,215.3,225.5,223.5,2723,60.522,268947
BDCOM,27.8,28.4,27.6,27.8,27.9,654,17.104,610091
BDFINANCE,12.5,13,11.5,12.5,11.9,336,6.696,533950
BDLAMPS,192.4,197.2,184,189.5,191.4,1739,29.089,153571
BDSERVICE,0,0,0,5.2,5.2,0,0,0
BDTHAI,12.7,12.8,12.1,12.7,12.1,867,25.68,2037127
BDTHAIFOOD,20.5,20.5,18.9,20.5,18.7,2117,131.027,6547261
BDWELDING,15,15.9,14.5,14.6,14.8,105,0.765,52096
BEACHHATCH,30.4,31.1,28,30.4,28.7,1120,15.507,520236
BEACONPHAR,103.1,104.7,102.9,103.1,104,598,14.368,138985
BENGALWTL,24.2,24.8,22.8,24.2,23.4,784,20.771,859776
BERGERPBL,1389.2,1390,1384,1389.2,1386.6,126,1.634,1177
BESTHLDNG,12.5,12.7,12.5,12.5,12.5,247,3.01,239636
BEXIMCO,110.1,110.1,110.1,110.1,110.1,2,0.002,15
BGIC,37.8,38.5,36.8,37.8,38.5,423,8.833,235486
BIFC,4.2,4.8,4.2,4.2,4.6,110,1.631,385118
BNICL,83.1,84.9,81.8,83.1,82.2,717,48.434,580703
BPML,27,27.6,26.8,26.9,26.9,68,0.617,22858
BPPL,15.4,15.8,15.3,15.4,15.6,861,29.652,1907586
BRACBANK,73,73.3,72.4,73,73,821,53.095,729421
BSC,104.5,104.9,103.1,104.5,103.2,567,17.521,167891
BSCPLC,143.8,144.5,141.1,143.8,143.6,177,4.885,33956
BSRMLTD,84.1,85,84,84.1,84.4,79,0.916,10848
BSRMSTEEL,69.5,70.3,69,69.6,69.2,134,1.729,24766
BXPHARMA,115.5,115.5,113.6,114.8,114,709,19.996,174481
CAPITECGBF,7.1,7.2,7,7.1,7,228,9.255,1308565
CAPMBDBLMF,12.1,12.2,11.6,12.1,12,597,39.035,3247799
CAPMIBBLMF,8.9,9,8.6,8.9,8.8,135,6.546,740304
CENTRALINS,42.4,42.5,41.4,42.2,42.4,541,21.635,515282
CENTRALPHL,8.7,8.7,8.4,8.5,8.4,155,3.25,381908
CITYBANK,32.7,33,32.4,32.7,32.9,2284,436.877,13344204
CITYGENINS,100.9,102,100.9,100.9,101.3,238,10.527,104205
CLICL,57.1,58,56.2,57.1,56.8,1045,29.067,508146
CNATEX,3.3,3.4,3.2,3.3,3.2,87,0.528,160661
CONFIDCEM,62.9,64,62.8,62.9,63.2,407,10.967,173262
CONTININS,27.8,29.1,27.4,27.8,28.9,510,9.316,330039
COPPERTECH,22.4,22.8,21.7,22.1,22.3,378,6.765,305918
CROWNCEMNT,49,51.1,49,49,49.3,44,0.556,11321
CRYSTALINS,82.6,87,81.6,82.6,86.4,1243,44.557,532731
CVOPRL,159.6,161.4,159.3,159.6,161.1,1470,41.669,260403
DACCADYE,15.2,15.2,14.7,15.2,14.9,115,1.248,83354
DAFODILCOM,110.1,113,107.7,109.4,112.2,951,28.899,262827
DBH,38.9,39,38.2,38.6,38.8,109,4.65,120247
DBH1STMF,4.4,4.6,4.4,4.4,4.5,100,1.838,412139
DELTALIFE,76.2,77.6,75.6,76.2,75.4,677,18.868,245671
DELTASPINN,6.5,6.7,6.3,6.5,6.6,340,8.798,1347043
DESCO,24.3,25,24,24.3,23.9,257,4.192,171877
DESHBANDHU,16.9,17.4,16.8,16.9,17,360,8.279,486094
DGIC,22.7,23.3,22.5,22.7,23.2,266,4.64,203494
DHAKABANK,12.6,13.4,12.5,12.6,12.9,2081,117.67,9052829
DHAKAINS,41,41.7,40.5,41,41.7,176,3.594,87230
DOMINAGE,64,64.7,63.1,64,63.9,2332,177.683,2783209
DOREENPWR,29.6,30.1,29.5,29.6,29.9,685,15.155,510498
DSHGARME,136.3,142.7,124,136.3,129.8,2560,72.398,542895
DSSL,9.3,9.5,9.1,9.3,9.1,446,10.512,1123746
DULAMIACOT,131.9,138,122.4,131.9,134.7,208,6.424,48464
DUTCHBANGL,44.5,48,44,44.5,43,2024,117.339,2575315
EASTERNINS,59.1,61,58.6,59.1,61.2,512,10.924,182884
EASTLAND,22.6,23.4,22.3,22.6,23,455,13.312,584711
EASTRNLUB,1667.9,1681.1,1630.1,1667.9,1613.3,1910,46.877,28378
EBL,27.6,28,27.3,27.6,27.3,659,88.682,3215421
EBL1STMF,3.8,3.9,3.7,3.8,3.8,77,0.566,149060
EBLNRBMF,3.2,3.3,3.1,3.2,3.1,103,3.757,1173150
ECABLES,122,124.8,122,122.1,125,105,1.335,10891
EGEN,23.1,23.2,22.4,23,22.6,803,27.321,1198616
EHL,84.1,85.4,83.1,84.1,83.7,1493,50.96,603681
EIL,28.4,28.8,28.1,28.4,28.5,350,9.027,318393
EMERALDOIL,14.4,14.5,14.1,14.2,14.3,136,1.022,71713
ENVOYTEX,48.4,48.8,48.2,48.4,48.4,264,6.362,131495
EPGL,17.2,17.3,16.5,17.2,16.5,634,12.432,730561
ESQUIRENIT,21.7,21.7,21.7,21.7,19.8,243,7.839,361240
ETL,10.9,11.2,10.5,10.9,10.6,1112,44.499,4074505
EXIM1STMF,3.7,3.8,3.6,3.7,3.7,118,1.221,330101
EXIMBANK,0,0,0,3,3,0,0,0
FAMILYTEX,2.9,3,2.8,2.9,2.9,134,2.599,894933
FARCHEM,15.2,15.4,14.6,15.2,14.9,192,3.212,214142
FAREASTFIN,2.1,2.3,2.1,2.1,2.2,152,1.156,529261
FAREASTLIF,21,21.9,20.7,21.2,20.7,22,0.161,7604
FASFIN,2.2,2.5,2.2,2.3,2.3,96,0.794,340738
FBFIF,3,3.1,3,3,3,21,0.429,142889
FEDERALINS,22,22.6,21.9,22,22.4,396,7.236,326134
FEKDIL,15.1,15.9,14.9,15.1,14.8,1248,62.436,4059684
FINEFOODS,530.5,533,506,530.5,506.3,2002,105.029,199556
FIRSTFIN,4.4,4.5,4.1,4.4,4.3,28,0.06,13718
FIRSTSBANK,0,0,0,1.9,1.9,0,0,0
FORTUNE,13.3,13.7,13.2,13.3,13.5,328,5.281,396972
FUWANGCER,12.4,12.7,12.4,12.4,12.4,331,9.382,751403
FUWANGFOOD,9.7,9.9,9.6,9.7,9.8,193,3.527,362994
GBBPOWER,8.5,8.6,8.4,8.5,8.4,56,1.13,133037
GEMINISEA,114.4,118.5,114.2,114.4,115.4,247,2.636,22892
GENEXIL,26.4,26.9,26.3,26.4,26.5,581,13.725,516595
GENNEXT,3,3.1,2.9,3,3,176,2.042,677427
GHAIL,12.3,12.9,12.1,12.3,12.2,573,11.917,955971
GHCL,18.9,18.9,18.4,18.7,18.4,33,0.364,19462
GIB,0,0,0,1.7,1.7,0,0,0
GLDNJMF,6.1,6.2,6,6.1,6.1,136,4.211,691118
GLOBALINS,32,33.3,31.5,32,32.9,730,15.252,468739
GOLDENSON,14.3,14.5,13.8,14.3,13.9,1203,43.235,3043296
GP,245.5,252,243.2,245.5,242.8,491,12.698,51823
GPHISPAT,16.1,16.3,16,16.1,16.1,419,6.085,378359
GQBALLPEN,620.6,639.9,618,620.6,630.2,1413,62.033,99011
GRAMEENS2,12.3,12.6,12.3,12.3,12.4,84,1.681,135324
GREENDELMF,3.4,3.5,3.3,3.4,3.4,34,0.618,181695
GREENDELT,61.6,63.6,61.3,61.6,63.9,444,12.712,204568
GSPFINANCE,3.9,4.2,3.8,3.9,4,121,1.421,360529
HAKKANIPUL,78.2,79,75.9,78.2,75.8,1345,29.982,384464
HAMI,185.1,188.5,184.5,185.1,187.4,504,10.172,54642
HEIDELBCEM,204.1,212.7,199.2,204.1,206.3,162,2.748,13503
HFL,15,15.3,13.5,15.1,14,256,4.443,303430
HRTEX,18.5,18.9,18.3,18.5,18.5,98,0.698,37486
HWAWELLTEX,42.2,43.2,42,42.2,42.6,334,6.821,160764
IBNSINA,312.4,314.8,311.1,312.4,312,175,3.434,11009
IBP,12.9,13,12.5,12.9,12.5,259,5.931,463550
ICB,35.2,36.2,34.9,35.2,36.7,573,8.168,230030
ICB3RDNRB,4.6,4.7,4.5,4.6,4.5,53,1.79,389616
ICBAGRANI1,6.7,6.8,6.7,6.8,6.6,33,0.069,10183
ICBAMCL2ND,6.1,6.1,5.9,6.1,6,47,1.203,200883
ICBEPMF1S1,5.9,6,5.5,5.9,5.5,225,15.124,2620399
ICBIBANK,2.9,2.9,2.8,2.8,2.8,18,0.165,58355
ICBSONALI1,4.6,4.8,4.6,4.6,4.6,86,1.247,266696
ICICL,22.1,23,22.1,22.2,22.7,286,4.81,215095
IDLC,37.3,37.5,36.7,37.3,36.7,329,6.635,178491
IFADAUTOS,21.5,21.8,21.4,21.5,21.7,302,5.644,261285
IFIC,4.9,5,4.8,4.9,4.9,291,7.046,1438063
IFIC1STMF,3.7,3.8,3.7,3.7,3.7,101,5.086,1357930
IFILISLMF1,4,4.2,4,4,4,73,1.275,316571
ILFSL,2.2,2.3,2.2,2.2,2.2,118,1.125,509391
INDEXAGRO,70.7,72.1,70.4,70.7,72.4,307,7.751,109070
INTECH,34.9,35.5,34.5,34.9,34.7,866,17.364,495757
INTRACO,17.5,17.7,16.3,17.5,17.1,545,8.426,498889
IPDC,19,19.4,18.9,19,18.7,657,28.18,1477358
ISLAMIBANK,34.7,36.5,34,34.7,35.8,1116,15.366,437155
ISLAMICFIN,10.3,10.6,10.2,10.3,10.5,175,2.069,200024
ISLAMIINS,41.3,42.9,41.3,41.8,43,149,3.436,81859
ISNLTD,63.5,68.5,61.7,63.5,68.5,3458,112.276,1787401
ITC,38.8,39,38.6,38.8,38.7,303,10.582,272442
JAMUNABANK,25,25.3,24.8,25,24.9,846,118.738,4746765
JAMUNAOIL,170.9,171.2,170,170.9,170.7,104,1.481,8673
JANATAINS,35.3,36.3,34.9,35.3,36.2,1134,41.539,1172705
JHRML,43.5,43.9,41.9,43.5,43,387,6.278,146403
JMISMDL,121.4,128,116,121.4,127,534,10.094,82118
JUTESPINN,207.6,208.5,207.1,207.6,208.2,54,0.507,2443
KARNAPHULI,32,33.1,31.7,32,32.6,560,19.728,611828
KAY&amp;QUE,476.1,483.9,474.1,476.1,476.9,1763,44.661,93534
KBPPWBIL,49.8,50.6,49.3,49.8,50,2881,112.061,2240910
KDSALTD,46.5,47.4,45.8,46.5,45.8,798,21.65,465898
KEYACOSMET,4.8,4.9,4.7,4.8,4.8,183,2.325,484654
KOHINOOR,504,506.1,503.8,504.4,505.3,216,3.19,6321
KPCL,11.1,11.2,11,11.1,11.1,146,1.658,149463
KPPL,14.3,14.5,14.2,14.3,14.2,141,1.105,77411
KTL,9.3,9.4,9,9.2,9.2,172,2.586,281093
LANKABAFIN,13.9,14.1,13.7,13.9,13.7,365,9.311,671746
LEGACYFOOT,75.1,77.8,72.3,75.1,76.3,2302,66.596,885284
LHB,50.2,50.5,49.2,50.2,49.2,661,20.493,409998
LIBRAINFU,621.4,627.8,618.1,621.4,619.6,351,3.314,5325
LINDEBD,0,0,0,648.6,648.6,0,0,0
LOVELLO,86.4,89.5,85,86.4,88.2,3085,240.336,2746600
LRBDL,9.9,10,9.7,9.9,10,158,1.658,167679
LRGLOBMF1,3.2,3.3,3.2,3.2,3.2,19,0.718,222697
MAGURAPLEX,82.7,84,82,82.7,82.8,406,5.528,66682
MAKSONSPIN,5.6,5.7,5.5,5.6,5.5,96,1.53,276689
MALEKSPIN,26.8,27,26.5,26.7,26.5,267,6.917,258085
MARICO,2774.5,2774.5,2760,2765.8,2767.7,116,2.241,810
MATINSPINN,46.4,46.7,45.4,46.3,46.2,150,2.711,58887
MBL1STMF,3.9,4,3.8,3.9,3.9,28,1.522,390223
MEGCONMILK,34.3,35.6,33.9,34.3,33.8,286,2.526,72755
MEGHNACEM,30.5,30.5,29,29.8,30,128,0.868,29235
MEGHNAINS,29.5,30.8,29.4,29.5,30.4,853,31.275,1046699
MEGHNALIFE,57.2,58.2,55.9,57.2,56.1,693,17.964,312748
MEGHNAPET,42.8,43.9,41.4,42.8,42.1,244,4.396,103973
MERCANBANK,9.2,9.4,8.8,9.2,8.7,1129,52.284,5744720
MERCINS,26.1,26.7,24.8,26.1,26.8,50,0.658,25321
METROSPIN,8.8,9,8.7,8.8,8.9,44,0.337,38157
MHSML,19.3,19.6,19.1,19.3,19.2,825,38.825,2015436
MIDASFIN,5.5,5.8,5.5,5.5,5.6,39,0.354,63463
MIDLANDBNK,16,16.8,15.9,16,16.3,958,44.415,2728449
MIRACLEIND,26.3,27.4,26,26.3,26.9,301,5.525,207703
MIRAKHTER,35,35.2,33.3,35,32.9,1740,55.237,1605497
MITHUNKNIT,15.6,15.7,15.2,15.3,15.2,80,0.54,35102
MJLBD,88.8,89.1,88.2,88.8,88.3,162,3.249,36591
MLDYEING,8.3,8.5,8.1,8.3,8.2,130,2.638,318359
MONNOAGML,337.1,346,335.7,337.1,337.2,195,3.06,9029
MONNOCERA,82.5,83.8,82,82.5,82.4,740,14.964,181000
MONNOFABR,21.9,22.4,21.6,21.9,21.6,799,29.25,1332207
MONOSPOOL,99.2,103,97.3,99.2,97.2,1199,27.312,276904
MPETROLEUM,201.5,201.7,199.5,201.1,199.5,206,4.832,24089
MTB,13,13.6,12.8,13,13.2,674,94.833,7162912
NAHEEACP,23.2,24.3,22.1,23.2,22.6,1217,32.336,1375903
NATLIFEINS,103.5,104.7,102,103.5,102.3,273,5.269,50889
NAVANACNG,20.8,20.8,20.6,20.7,20.7,97,1.624,78381
NAVANAPHAR,58.8,59.1,58,58.8,58.3,735,15.74,269336
NBL,4.2,4.2,4.1,4.2,4,178,3.297,791659
NCCBANK,16.7,17.7,16.4,16.7,17.3,2561,255.529,15096366
