TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
1JANATAMF,2.9,3,2.9,2.9,3,145,1.165,400016
1STPRIMFMF,18.3,18.6,18.3,18.3,18.4,174,2.313,125849
AAMRANET,16.6,16.6,16.1,16.4,16.2,166,2.305,140971
AAMRATECH,13,13.9,12.8,13,12.8,74,0.68,52647
ABB1STMF,3.1,3.2,3,3.1,3.1,167,4.803,1554363
ABBANK,4.3,4.4,4.1,4.3,4.2,204,2.526,594370
ACFL,20.9,21.2,19.9,20.9,20,288,6.597,316149
ACI,185.5,188.2,185.5,185.8,185.9,275,2.908,15607
ACIFORMULA,138.1,139.8,137.7,138.5,138.3,253,3.242,23475
ACMELAB,75,75.3,74.9,75,75,341,7.485,99728
ACMEPL,23.8,23.9,23.3,23.8,23.3,1472,51.362,2170133
ACTIVEFINE,6.8,6.9,6.6,6.8,6.8,129,1.771,262865
ADNTEL,59.4,59.8,59.2,59.4,59.3,487,16.284,274048
ADVENT,14.1,14.2,13.6,14.1,13.8,219,4.601,329839
AFCAGRO,7.1,7.2,7,7.1,6.9,138,1.398,198269
AFTABAUTO,28.8,28.9,28.5,28.8,28.3,384,7.994,278462
AGNISYSL,26.6,27,26.2,26.6,26.1,1207,61.469,2310341
AGRANINS,24.4,24.8,23.9,24.3,23.9,288,4.182,171224
AIBL1STIMF,3.9,4,3.9,3.9,4,87,0.808,207061
AIL,32.6,33.9,32.2,32.6,32.9,467,6.52,199068
AL-HAJTEX,92.9,94.9,92.6,92.9,93.7,1109,18.429,197446
ALARABANK,13.5,13.6,13.4,13.5,13.4,41,0.133,9835
ALIF,5.3,5.4,5.2,5.3,5.3,151,2.312,436300
ALLTEX,17,17.4,16.6,17,16.6,264,8.198,481194
AMANFEED,31.8,32.4,31.6,31.8,31.8,1066,35.025,1096676
AMBEEPHA,782.1,800,779.8,783.1,767.9,127,1.791,2258
AMCL(PRAN),216,217.4,213.9,216,213.7,130,2.312,10719
ANLIMAYARN,24.1,24.4,23.3,24.1,23.7,366,5.935,251430
ANWARGALV,97.3,98.9,97.1,97.3,97.7,1187,28.772,295017
AOL,16.6,16.7,16.3,16.6,16.4,188,3.92,236074
APEXFOODS,275.7,286.5,272.5,275.7,280.6,561,11.726,42049
APEXFOOT,196.1,199.4,195.7,196.1,197.3,905,19.187,97264
APEXSPINN,371.1,376.8,362,371.1,367.5,1383,106.017,286053
APEXTANRY,107.6,116,106,107.6,112.6,2260,43.34,395314
APOLOISPAT,3.5,3.5,3.4,3.5,3.3,270,2.938,848083
ARAMIT,168.1,171,168,168.2,168.3,62,0.931,5522
ARAMITCEM,11,11,10.7,11,10.9,46,0.422,38415
ARGONDENIM,17.6,18,17.5,17.6,17.8,369,9.421,532375
ASIAINS,38.4,39.1,37.7,38.4,37.8,405,12.854,333116
ASIAPACINS,43.1,43.5,42.6,43,42.6,638,20.159,468127
ASIATICLAB,120.4,121.2,115.4,120.4,117.3,2987,196.392,1658050
ATLASBANG,71.3,72,68.2,71.3,68.9,68,0.356,5048
AZIZPIPES,58,59.8,57.7,58,58.3,527,3.216,55034
BANGAS,130.1,133.8,129.9,130.1,131.4,477,10.009,76290
BANKASIA,0,0,0,18.8,18.8,0,0,0
BARKAPOWER,7.9,8,7.9,7.9,7.9,111,2.091,263653
BATASHOE,837.2,848.9,837.2,840.2,851.4,34,0.198,235
BATBC,210.6,211.9,210.1,210.6,211.4,877,14.426,68495
BAYLEASING,4.5,4.7,4.4,4.5,4.4,164,2.524,556027
BBS,12.5,12.9,12.3,12.5,12.4,618,23.102,1823453
