TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
1JANATAMF,3.2,3.2,3.1,3.2,3.1,24,0.375,117617
1STPRIMFMF,20.8,21.4,20.6,20.8,21.3,710,12.912,614978
AAMRANET,23.6,23.8,23.4,23.6,23.4,163,2.293,97195
AAMRATECH,15.2,15.3,15,15.2,15.1,153,1.676,111080
ABB1STMF,3.2,3.2,3.1,3.1,3.1,22,1.1,354775
ABBANK,7.3,7.3,7.2,7.3,7.3,446,4.965,682446
ACFL,17.4,17.6,17.2,17.4,17.3,95,1.876,107705
ACI,151.9,153,150.5,151.9,152.8,313,7.435,48829
ACIFORMULA,125.2,126,124,125.2,125,188,2.79,22274
ACMELAB,74.3,74.6,74,74.3,74.2,278,6.486,87307
ACMEPL,15,15.2,14.5,15,14.5,1350,45.228,3023901
ACTIVEFINE,8.8,9.1,8.8,8.8,9,151,3.225,362956
ADNTEL,85.8,86.3,85,85.8,85.3,550,11.901,138916
ADVENT,15.9,16,15.4,15.9,15.5,309,5.355,340694
AFCAGRO,9.8,9.9,9.7,9.8,9.7,38,0.59,60195
AFTABAUTO,34.8,35.4,34.6,34.8,34.7,328,5.127,147308
AGNISYSL,28.4,28.7,27.5,28.4,27.5,2162,111.73,3993493
AGRANINS,23.9,24.1,23.8,23.8,23.9,27,0.276,11584
AIBL1STIMF,7,7.2,6.9,6.9,7,35,1.649,238748
AIL,82,83.8,81.5,82,81.8,1397,41.833,506211
AL-HAJTEX,146.9,153,145.9,146.9,146.5,462,11.802,80537
ALARABANK,20.9,21.4,19.1,20.4,19.5,120,1.202,60678
ALIF,7.5,7.6,7.3,7.5,7.5,228,4.911,660842
ALLTEX,12.9,13.3,12.8,12.9,12.9,95,0.928,71699
AMANFEED,28.1,28.6,27.7,28.1,28.4,487,16.153,573943
AMBEEPHA,753.3,795,750,753.3,770.9,68,0.764,1006
AMCL(PRAN),204.2,205.5,203.6,204.2,205.3,15,0.133,651
ANLIMAYARN,23,24,23,23.1,23.8,41,0.343,14711
ANWARGALV,65.4,66.4,65,65.4,65.5,290,3.482,53253
AOL,16,16,15.8,16,15.9,137,3.065,192226
APEXFOODS,206,209,205.6,206,206.4,82,0.863,4181
APEXFOOT,202.8,203.2,201,202.3,201.2,94,1.22,6053
APEXSPINN,95.2,98.2,95,95.2,95.1,43,0.604,6315
APEXTANRY,66.1,67.5,66.1,66.3,66.7,38,0.439,6613
APOLOISPAT,4.2,4.3,4.1,4.2,4.2,131,1.391,331620
ARAMIT,165,165,161.5,163.5,160.6,29,0.247,1513
ARAMITCEM,12,12.2,11.7,12,11.8,63,0.563,46894
ARGONDENIM,17.7,17.8,17.5,17.7,17.5,238,6.809,385059
ASIAINS,26.7,27.3,26.6,26.7,26.7,54,0.694,25901
ASIAPACINS,30.9,31.4,29.9,30.6,30.7,36,0.143,4686
ASIATICLAB,37.9,38.6,37.7,37.9,38.1,785,23.659,621640
ATCSLGF,6.3,6.4,6.2,6.3,6.3,18,0.32,50871
ATLASBANG,52.9,52.9,52.9,52.9,51.2,1,0,1
AZIZPIPES,50.6,52.5,50.5,50.7,50.8,38,0.343,6751
BANGAS,95.7,97.1,95,95.7,96.2,364,5.993,62625
BANKASIA,17.3,17.3,17.1,17.3,17.2,16,1.028,59520
BARKAPOWER,9.8,9.9,9.6,9.8,9.6,312,2.075,212969
BATASHOE,850,862,848.1,855.4,849.2,32,0.078,91
BATBC,339,344,338,339,341.3,2056,119.526,351936
BAYLEASING,6.2,6.3,6.1,6.2,6.2,57,0.945,152686
BBS,12,12.1,11.7,12,11.6,864,20.156,1683565
BBSCABLES,17.7,17.9,17.4,17.7,17.3,429,11.79,668170
BDAUTOCA,91.7,98,91.6,91.9,93.2,229,2.449,26506
