TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
MLDYEING,11.2,11.7,11.1,11.2,11,553,12.561,1106515
MONNOAGML,323.3,324.3,318.3,323.3,317.5,403,5.549,17241
MONNOCERA,87.9,89,86.5,87.9,87.7,729,25.344,288486
MONNOFABR,17.1,17.4,16.9,17.1,16.9,724,20.836,1214079
MONOSPOOL,104.9,105.5,102.9,104.9,102.5,1193,27.839,266368
MPETROLEUM,205.8,206.9,205.5,205.8,206.3,172,12.735,61793
MTB,12.6,12.8,12.6,12.6,12.8,49,4.655,366916
NAHEEACP,22.7,23.1,22.5,22.7,22.9,421,10.83,475433
NATLIFEINS,98.9,100.9,98.5,98.9,99.3,541,17.066,171590
NAVANACNG,22.1,22.6,21.8,22.1,21.9,154,2.86,128886
NAVANAPHAR,52.8,53,51.5,52.8,51.7,903,22.984,438305
NBL,4.6,4.7,4.6,4.7,4.6,87,1.733,372348
NCCBANK,10.3,10.4,10.2,10.3,10.3,113,4.818,467163
NCCBLMF1,5.1,5.2,5,5,5.1,28,0.458,91210
NEWLINE,11,11.4,10.9,11,11.1,615,13.216,1186863
NFML,9.4,9.4,9,9.2,9,137,2.127,231782
NHFIL,28,28.4,26.3,28,26.3,858,29.607,1071630
NITOLINS,24.8,25,24,24.3,25.1,78,0.884,36440
NORTHERN,110.9,112,107.2,110.1,109.9,49,0.252,2296
NORTHRNINS,29,29,28.8,28.8,29.5,14,0.115,4005
NPOLYMER,30.8,31.6,30.4,30.8,30.4,262,5.795,186347
NRBBANK,13.9,14,13.7,13.9,13.9,403,34.556,2498251
NRBCBANK,8.6,8.7,8.6,8.6,8.6,80,1.258,145561
NTC,175.8,176.4,172.6,175.8,173.8,87,0.563,3227
NTLTUBES,79.6,80.2,78.8,79.4,78.9,252,4.644,58461
NURANI,4,4.3,4,4.1,4.1,93,1.151,279782
OAL,9.1,9.2,9,9.1,8.9,216,3.721,408556
OIMEX,28.3,28.5,27.6,28.3,27.5,816,45.182,1603873
OLYMPIC,146,148.5,145.1,146,147.1,257,7.065,48223
ONEBANKPLC,9,9.1,8.9,9,9,323,16.854,1879622
ORIONINFU,394.2,399,386.4,394.2,385.5,4140,195.96,497951
ORIONPHARM,32.6,33.5,30.8,32.6,30.9,1809,45.381,1394394
PADMALIFE,20.5,21,19.3,20.5,19.3,136,1.294,63427
PADMAOIL,182.6,184.9,182,182.8,183,323,7.665,42002
PAPERPROC,95.1,96,90.5,95.1,91.8,3534,99.674,1063360
PARAMOUNT,37.6,38.7,37.5,37.6,38.1,166,4.124,108856
PDL,7.7,8,7.6,7.7,7.8,214,2.113,272912
PENINSULA,13.6,13.6,12.5,13.6,12.4,644,15.353,1136549
PEOPLESINS,28.4,28.8,28.1,28.4,28.5,79,0.979,34450
PF1STMF,5.3,5.3,5.2,5.2,5.3,40,2.303,441608
PHARMAID,529.5,530.9,526.2,529.5,528.2,298,4.779,9028
PHENIXINS,24.8,25,24.8,24.8,25.1,18,0.087,3495
PHOENIXFIN,4.2,4.4,4.1,4.2,4.3,131,5.46,1292669
PHPMF1,3,3.2,3,3,3.1,44,0.481,158705
PIONEERINS,45.3,45.9,45,45.3,45.2,79,0.952,20972
PLFSL,2.5,2.6,2.4,2.5,2.5,56,0.771,308760
POPULAR1MF,3.1,3.2,3,3.1,3.1,55,2.125,685554
POPULARLIF,51,51.6,50.6,51,51,430,10.515,206136
