TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
1JANATAMF,4.6,4.7,4.6,4.6,4.6,41,1.533,333081
1STPRIMFMF,32.8,34.4,32.7,32.8,33.9,222,7.262,219550
AAMRANET,0,0,0,45.9,45.9,0,0,0
AAMRATECH,28.4,28.8,28.4,28.5,28.5,123,1.817,63732
ABB1STMF,4.7,4.8,4.6,4.7,4.7,39,0.762,161806
ABBANK,10.7,10.9,10.6,10.7,10.8,533,31.453,2936585
ACFL,22.7,23.3,22.2,22.6,23.4,113,3.939,172634
ACI,170,173,168.4,169.3,171.8,233,4.554,26803
ACIFORMULA,136.3,139.5,135,136.3,139.5,235,3.272,23735
ACMELAB,78.2,78.8,77.8,77.9,78.3,304,15.646,199776
ACMEPL,25.5,26.5,25.4,25.5,26.2,1623,52.449,2020911
ACTIVEFINE,17.1,18.1,16.9,17.1,17.9,655,20.68,1189379
ADNTEL,124.7,127.6,122,124.7,126.7,444,11.746,94461
ADVENT,31.6,32.8,31.3,31.6,31.8,2418,117.539,3675593
AFCAGRO,17.6,18.7,17.6,17.7,18.4,217,3.566,198156
AFTABAUTO,56.4,61,55.3,56.4,60,3791,153.221,2622381
AGNISYSL,28.7,29.6,28.5,28.7,29.3,1035,50.838,1758662
AGRANINS,39.9,42.5,39.5,39.9,40,156,2.302,57603
AIBL1STIMF,9.9,10.2,9.4,9.9,9.8,563,74.835,7506806
AIL,91.2,92.8,89.5,91.2,91.3,1362,76.591,837170
AL-HAJTEX,162.3,165.8,161.1,162.3,162.6,280,11.1,68429
ALARABANK,24,24.1,24,24,24,13,0.237,9864
ALIF,11.5,11.9,11.4,11.5,11.7,463,9.282,803613
ALLTEX,14.6,15.9,14.1,14.6,15.5,153,3.07,201480
AMANFEED,31.6,32.3,31.2,31.6,32.2,259,4.282,134719
AMBEEPHA,808.6,824.9,792,808.6,822.3,80,1.408,1730
AMCL(PRAN),248.1,251.1,247.9,248.7,251.4,81,1.279,5137
ANLIMAYARN,48.4,48.9,46.2,47.5,46.3,902,20.433,428769
ANWARGALV,167.9,172,167.6,167.9,169.9,707,15.135,89837
AOL,26.8,27.7,26.6,26.8,27.4,518,9.588,354224
APEXFOODS,306.7,311.9,305.1,306.7,307.6,459,9.341,30267
APEXFOOT,250.5,256.4,250,250.5,254.9,305,10.189,40217
APEXSPINN,118,119.6,118,118.6,119.2,34,0.536,4519
APEXTANRY,94.1,96,94.1,94.8,95.8,23,0.076,804
APOLOISPAT,5.4,5.6,5.3,5.4,5.5,144,1.571,290888
ARAMIT,237.2,240.5,235.1,236.7,239.8,67,0.622,2609
ARAMITCEM,26.1,27.2,25.7,26.1,26.7,135,1.28,48872
ARGONDENIM,18.3,18.9,18.3,18.3,18.8,140,3.403,183711
ASIAINS,48.7,49.7,48.2,48.7,48.3,344,9.34,192055
ASIAPACINS,49.3,50.2,49,49.3,49.5,105,1.33,26845
ASIATICLAB,24.2,24.2,24.2,24.2,22,43,0.07,2886
ATCSLGF,8.1,8.5,8,8,8.3,117,2.049,252250
ATLASBANG,74.2,74.5,72.4,74.2,72.3,32,0.2,2727
AZIZPIPES,93.3,95.9,93.2,93.7,94.6,83,0.58,6194
BANGAS,119.1,122.7,118.9,119.1,121.5,625,11.159,92751
BANKASIA,18,18.1,17.9,18,18,36,1.614,89771
BARKAPOWER,16.1,16.6,16.1,16.1,16.5,130,2.044,125838
BATASHOE,983.5,999,980.3,984.7,983.1,10,0.159,161
BATBC,452.9,474.7,452,452.9,469.9,4815,151.461,331018
BAYLEASING,13.3,13.7,13.2,13.3,13.6,235,5.93,443301
BBS,17.3,18.2,17.1,17.3,18,544,12.446,708196
BBSCABLES,39.6,41.2,39.5,39.6,41.3,546,10.562,263377
BDAUTOCA,122.6,127.1,122,122.6,125.3,296,4.833,38759
BDCOM,34.9,35.8,34.8,34.9,35.5,418,9.73,277355
BDFINANCE,26.6,28,26.5,26.6,27.5,420,13.497,501367
BDLAMPS,162,164.4,160.1,160.8,163.1,87,0.977,6052
BDSERVICE,0,0,0,5.2,5.2,0,0,0
BDTHAI,27.2,30,27,27.2,29.7,3969,133.942,4725953
BDTHAIFOOD,0,0,0,29.7,29.7,0,0,0
BDWELDING,19.6,20,19.5,19.6,19.9,68,1.094,55614
BEACHHATCH,65.2,66.7,64.7,65.2,66.5,1255,55.808,848194
BEACONPHAR,248.8,252.5,238.5,248.8,237.3,3214,132.828,535386
BENGALWTL,23.9,24.3,23.8,23.9,24.3,216,4.215,175589
BERGERPBL,1833.6,1855,1826.7,1833.6,1840.1,154,6.585,3588
BESTHLDNG,38,39.4,37.7,38,39,3840,152.119,3966685
BEXIMCO,115.6,115.6,115.6,115.6,115.6,4,0.013,113
BGIC,48.5,50.2,48.3,48.8,49.2,36,0.273,5594
BIFC,7,7.3,6.5,6.8,6.8,16,0.146,21599
BNICL,52.8,53.5,52.2,52.6,53.3,257,3.93,74098
BPML,68.4,69.9,68.3,68.4,69.4,404,11.009,159955
BPPL,19.3,19.6,19.2,19.3,19.5,128,1.11,57547
BRACBANK,41.8,42,41.7,41.8,41.9,175,17.361,414294
BSC,118.8,121.7,118,118.8,120.9,543,11.303,94626
BSCCL,148.5,152.9,148,148.7,150.7,515,10.887,72722
BSRMLTD,0,0,0,90,90,0,0,0
BSRMSTEEL,59.4,59.8,59,59.4,59.5,55,0.545,9192
BXPHARMA,128.5,131,128,128.5,129.7,429,19.904,154754
CAPITECGBF,10.8,11.3,10.7,10.8,11,243,6.049,554978
CAPMBDBLMF,8.6,8.8,8.5,8.6,8.6,10,0.06,6944
CAPMIBBLMF,11.6,11.7,11.4,11.6,11.6,50,1.009,87283
CENTRALINS,60.6,63,60.2,60.6,62.5,466,57.53,939110
CENTRALPHL,26.8,30,26.7,26.8,29.6,7116,280.801,10101255
CITYBANK,20.6,20.9,20.5,20.6,20.8,213,16.746,806064
CITYGENINS,72.6,74.1,71.9,72.6,73.1,513,18.098,250000
CLICL,54.8,55.3,54.1,54.4,55.1,49,0.317,5815
CNATEX,8.2,8.5,8.1,8.2,8.4,468,14.252,1725741
CONFIDCEM,77.8,78.2,77.1,77.8,78.2,127,2.795,35884
CONTININS,41.2,42,41.1,41.2,41.8,149,3.863,93204
COPPERTECH,31.1,32,31,31.1,31.8,361,6.875,218077
CROWNCEMNT,72.6,74,72,72.6,73.1,97,0.824,11355
CRYSTALINS,116,119.4,116,116.6,119.5,179,3.5,29734
CVOPRL,164.1,167,163.6,164.1,166.3,392,10.588,64212
DACCADYE,11.7,12,11.6,11.7,11.9,125,1.63,138510
DAFODILCOM,81.3,81.8,79.5,81.1,81.3,96,1.728,21528
DBH,44.9,46.7,44.6,44.9,46,417,9.86,217775
DBH1STMF,5.8,6.1,5.8,5.8,6,49,0.477,80955
DELTALIFE,106.1,109,105.6,106.1,107.2,465,10.785,101267
DELTASPINN,6.3,6.6,6.3,6.3,6.4,96,0.613,96927
DESCO,26.6,27.3,26.5,26.6,26.6,45,0.494,18592
DESHBANDHU,37.8,38.7,37.6,37.8,37.6,1072,26.152,686874
DGIC,33.9,35,33.7,33.9,35,229,4.626,134847
DHAKABANK,11.9,11.9,11.8,11.9,11.9,18,0.302,25524
DHAKAINS,49.9,51,49.9,50.1,50.8,83,1.654,32927
DOMINAGE,15.5,16.2,15.5,15.5,15.8,375,6.059,384816
DOREENPWR,41.5,42,41.4,41.5,41.9,218,5.084,121982
DSHGARME,92.5,95.8,92.5,93.3,94.4,63,0.328,3495
DSSL,13.3,13.7,13.2,13.3,13.7,435,7.09,528247
DULAMIACOT,66.1,67.6,66,66,66.5,18,0.112,1694
DUTCHBANGL,56.7,57,56.5,56.8,56.7,46,0.797,14041
EASTERNINS,67,68.3,66.1,67,67.1,627,13.143,194605
EASTLAND,27.1,27.7,26.8,27.1,27,110,1.866,68858
EASTRNLUB,1508,1524.7,1501,1508,1518.5,258,4.154,2748
EBL,31.1,31.1,30.9,31.1,31,142,23.726,764645
EBL1STMF,5.8,6,5.8,5.8,5.8,20,0.139,23954
EBLNRBMF,4.8,5,4.8,4.8,4.9,97,2.701,554793
ECABLES,161.8,166.9,161.8,163,164.2,89,1.449,8876
EGEN,36.3,38,36.1,36.3,37,673,18.689,504664
EHL,86.6,89,86.2,86.6,88.4,479,14.353,165024
EIL,45.5,46.9,44.5,45.5,45.3,578,28.18,621580
EMERALDOIL,75.8,80,75.5,75.8,79,1946,62.677,805340
ENVOYTEX,36.9,37.9,36.6,36.8,38.1,47,0.342,9222
EPGL,26.1,27.2,26,26.1,26.6,91,0.973,37122
ESQUIRENIT,27,27.4,26,26.6,26.9,189,3.09,116867
ETL,16.3,16.9,16.2,16.3,16.8,1055,41.769,2521600
EXIM1STMF,4.7,4.8,4.7,4.7,4.7,38,0.306,64747
EXIMBANK,10.1,10.2,10,10.1,10.1,228,11.083,1096199
FAMILYTEX,4.3,4.4,4.1,4.1,4.2,220,2.681,639222
FARCHEM,23.2,24.3,23.2,23.5,24.1,113,1.117,47000
FAREASTFIN,4.6,4.8,4.5,4.6,4.6,15,0.107,23300
FAREASTLIF,49.5,51.8,49,49.5,49.3,154,3.241,65557
FASFIN,4.9,5,4.7,4.9,4.8,93,1.001,204223
FBFIF,4.7,4.8,4.7,4.7,4.8,32,0.397,84376
FEDERALINS,26.1,26.2,26,26.1,26,63,1.559,59787
FEKDIL,14.8,15.2,14.7,14.8,14.9,174,2.974,200900
FINEFOODS,181.9,185,174,180,173.3,1606,64.261,355916
FIRSTFIN,4.9,4.9,4.7,4.9,4.7,31,0.095,19591
FIRSTSBANK,8,8.2,8,8,8.1,228,8.155,1010617
FORTUNE,54.6,57.3,54.2,54.6,56.8,3621,155.784,2789307
FUWANGCER,30.6,31.6,29.8,30.6,30.3,6371,409.434,13389100
FUWANGFOOD,30.6,32.1,30.5,30.6,31.8,2561,97.751,3130644
GBBPOWER,12.5,13,12.5,12.6,12.8,146,1.678,133264
GEMINISEA,370.7,382,368,370.7,374.5,1650,35.598,95093
GENEXIL,66.8,68.4,66.3,66.8,68,687,16.786,249964
GENNEXT,6.3,6.5,6.2,6.3,6.4,466,14.858,2352840
GHAIL,15.8,16.1,15.6,15.8,15.9,127,3.142,199094
GHCL,26.7,27.2,26.3,26.7,26.8,70,0.794,29778
GIB,8.2,8.4,8.2,8.2,8.3,599,32.715,3983160
GLDNJMF,11.3,11.9,11.2,11.3,11.7,454,21.891,1900939
GLOBALINS,35.5,36.8,35.5,35.5,35.8,84,2.174,60592
GOLDENSON,19.1,19.8,18,19.1,18.3,3902,159.183,8293246
GP,253.5,258.1,252,253.5,256.7,1512,59.814,235104
GPHISPAT,31,31.6,30.9,31,31.3,406,9.483,304106
GQBALLPEN,128.3,134.8,127.1,128.3,133.6,1427,38.218,292318
GRAMEENS2,13.8,13.9,13.8,13.9,14.2,12,0.38,27382
GREENDELMF,5.5,5.5,5.3,5.4,5.5,29,0.733,135677
GREENDELT,65.4,67.8,63.2,65,67.9,204,2.176,33241
GSPFINANCE,15.1,16.3,14.9,15.1,16,1040,23.95,1550505
HAKKANIPUL,60.5,61.8,60.4,60.5,61.5,337,6.237,102721
HEIDELBCEM,245.3,268,241.2,245.3,262.1,1067,37.59,151040
HFL,16.8,17.2,16.7,16.8,17.1,159,2.101,123440
HRTEX,103.3,109.1,102,103.3,107.7,1917,54,510262
HWAWELLTEX,49.5,49.7,49.5,49.5,49.7,18,1.079,21786
IBNSINA,266.9,271.2,266.7,267,267.7,73,9.604,35842
IBP,17.8,18.2,17.7,17.8,18,576,14.613,819703
ICB,61.8,62.3,61.1,61.6,62.6,63,0.484,7856
ICB3RDNRB,5.8,6,5.8,5.9,5.9,13,0.201,34224
ICBAGRANI1,7.7,7.9,7.7,7.8,7.8,17,0.209,26871
ICBAMCL2ND,7.8,8,7.8,7.9,8,21,0.379,47783
ICBEPMF1S1,6.5,6.5,6.5,6.5,6.5,9,0.163,25057
ICBIBANK,4.6,4.7,4.3,4.6,4.3,414,7.555,1642389
ICBSONALI1,9.6,10,9.6,9.6,9.6,60,0.577,59066
ICICL,30.7,31.4,30.5,30.7,31,183,2.274,73778
IDLC,38.8,40,38.6,38.8,39.1,122,6.77,174133
IFADAUTOS,36.7,37.5,36.5,36.7,37,443,11.018,298404
IFIC,11.9,12,11.7,11.9,11.9,1019,54.769,4611247
IFIC1STMF,4.5,4.6,4.5,4.5,4.5,24,1.137,252460
IFILISLMF1,6,6,5.9,6,6,31,0.814,135900
ILFSL,5.6,5.8,5.4,5.6,5.4,111,2.232,400286
IMAMBUTTON,182.9,190.8,182,182.9,183.4,190,1.725,9423
INDEXAGRO,79.7,81,79.7,79.9,80.4,80,2.131,26520
INTECH,30.2,32,30,30.2,31.7,409,5.128,166432
INTRACO,45.3,47.3,45,45.3,45.7,2530,176.909,3816046
IPDC,31,32.3,30.8,31,31.9,546,15.193,485365
ISLAMIBANK,32.6,32.6,32.6,32.6,32.6,3,0.005,153
ISLAMICFIN,13.6,14.4,13.5,13.6,14.2,218,2.719,196486
ISLAMIINS,47.1,47.5,47,47.1,47.2,27,0.274,5809
ISNLTD,50.5,52,50,50.5,50.9,219,2.926,57814
ITC,50.6,52.2,50,50.6,51.5,1644,87.24,1704981
JAMUNABANK,21.8,22,21.6,21.8,21.8,190,14.268,653243
JAMUNAOIL,173,174.3,172,172.4,174.3,130,2.136,12374
JANATAINS,35.8,36.5,35.4,35.8,35.6,108,3.436,96326
JHRML,69,70.9,68,69,70.5,521,10.333,148492
JMISMDL,164.5,167.8,164.5,165,167,309,4.741,28648
JUTESPINN,375.9,380,360,371.5,369.5,153,1.621,4364
KARNAPHULI,57.8,59.4,56.9,57.8,58.9,1019,42.839,740177
KAY&amp;QUE,248.2,255,246.5,248.2,247.5,447,8.399,33715
KBPPWBIL,208.1,212,205,210.1,210.8,548,25.337,120696
KDSALTD,53.7,55.8,53.5,53.7,54.8,406,22.116,407349
KEYACOSMET,5.3,5.4,5.2,5.3,5.3,108,1.45,275411
KOHINOOR,482.5,489,481.5,482.5,483.3,255,4.361,8986
KPCL,26.6,26.6,26.6,26.6,26.6,1,0.003,100
KPPL,30.1,33.3,29.8,30.1,32.8,1487,29.29,934307
KTL,18.1,19.4,17.9,18.1,19.1,1448,43.994,2361244
LANKABAFIN,21.6,22.5,21,21.6,22.3,597,15.439,715047
LEGACYFOOT,74.1,75,73.6,74.2,74,325,5.98,80525
LHBL,73.3,74,73.2,73.3,73.8,1185,80.716,1098190
LIBRAINFU,826,850,812.1,818.5,841.4,1616,15.559,18778
