TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
1JANATAMF,3.5,3.6,3.4,3.5,3.4,142,3.894,1124601
1STPRIMFMF,20.7,21.5,20.3,20.7,21.2,1126,25.785,1246466
AAMRANET,18.3,18.7,18.2,18.3,18.6,134,1.211,65600
AAMRATECH,13.4,13.5,13,13.3,13.2,33,0.098,7406
ABB1STMF,5,5.1,4.9,5,4.9,398,37.965,7601383
ABBANK,6.4,6.6,6.4,6.4,6.5,229,6.226,966522
ACFL,16.2,16.4,15.7,15.7,16,83,0.54,33801
ACI,174.6,175.8,171.2,174.6,170,422,7.694,44255
ACIFORMULA,132.2,135,131.5,132.2,133.3,81,1.926,14533
ACMELAB,73.9,74.1,73,73.9,73.5,280,6.499,88091
ACMEPL,13,13.3,12.8,13,12.8,597,14.553,1114990
ACTIVEFINE,8.5,8.6,8.3,8.5,8.4,65,0.854,100720
ADNTEL,72.3,74,72,72.3,73,507,11.618,159703
ADVENT,14.7,15.7,14.5,14.7,14.8,188,2.839,192299
AFCAGRO,8.7,9,8.5,8.7,8.8,81,1.029,118422
AFTABAUTO,29.1,29.9,28.9,29.1,29.5,266,4.447,151528
AGNISYSL,25.1,25.6,24.9,25.1,25.5,541,13.914,552007
AGRANINS,25,25.8,24.6,25.1,25.4,67,0.431,17183
AIBL1STIMF,6.7,6.8,6.5,6.7,6.5,87,1.149,171720
AIL,50.7,52.3,50.3,50.7,51.3,2361,65.702,1286679
AL-HAJTEX,130.8,132.5,129,131,131.9,228,6.168,47002
ALARABANK,22.2,23,20,22.1,22.2,56,2.987,135746
ALIF,6.5,6.7,6.5,6.5,6.6,79,1.506,228577
ALLTEX,11.3,12.1,11.2,11.3,11.5,115,1.31,115776
AMANFEED,25.7,25.8,25,25.7,25.2,561,20.242,790411
AMBEEPHA,758.6,759,741.2,755.2,746.2,290,3.803,5097
AMCL(PRAN),211.5,212.9,207.2,211.5,208.2,22,0.448,2120
ANLIMAYARN,23.1,23.3,22.4,23,22.4,22,0.202,8821
ANWARGALV,58.9,59.1,58.2,58.6,58,427,4.192,71384
AOL,14.6,14.8,14.3,14.6,14.3,134,1.956,134371
APEXFOODS,190.5,195,187,190.5,190,144,1.522,7962
APEXFOOT,208.5,208.9,205,207,205.3,304,4.835,23440
APEXSPINN,89.5,90.7,88,90.1,87.3,47,0.489,5443
APEXTANRY,63,63.9,62.8,63,63.3,125,1.54,24434
APOLOISPAT,3.6,3.8,3.6,3.6,3.7,56,0.665,182691
ARAMIT,157.5,167,156.2,157.5,161.4,102,1.119,7078
ARAMITCEM,12.3,12.7,12.2,12.3,12.2,69,0.245,19749
ARGONDENIM,16.1,16.4,16.1,16.1,16.3,125,2.418,149277
ASIAINS,26,26.7,25.8,26,26.1,40,0.516,19837
ASIAPACINS,30.5,31,29.6,30.5,30,118,1.587,52571
ASIATICLAB,34.1,35,33.8,34.1,34.7,482,16.021,467776
ATCSLGF,0,0,0,7.5,7.5,0,0,0
ATLASBANG,55.3,57.3,53.6,54.1,54.9,77,0.512,9331
AZIZPIPES,49,49,48.4,48.9,49.2,19,0.223,4564
BANGAS,92.6,93.6,92,92.6,92.1,132,1.488,16110
BANKASIA,18.9,19.3,18,18.9,18,513,11.735,631249
BARKAPOWER,11.2,11.2,10.4,11.2,10.2,1330,38.284,3452006
BATASHOE,774,781.1,725,732.1,780.6,142,1.242,1646
BATBC,315.4,316.9,307.9,315.4,307,1279,22.544,72119
BAYLEASING,5.6,5.9,5.5,5.6,5.7,75,0.77,136824
BBS,10.4,10.6,10.3,10.4,10.4,195,3.711,354919
BBSCABLES,15.4,15.8,15.4,15.5,15.5,236,3.952,253703
BDAUTOCA,91.4,94.8,91,91,91.7,81,0.704,7709
BDCOM,23,23.3,22.8,23,23.2,287,4.634,201181
BDFINANCE,8.3,8.4,8.1,8.3,8.4,90,0.758,91594
BDLAMPS,119.6,121.9,119,119.6,120.1,171,1.923,16032
BDSERVICE,0,0,0,5.2,5.2,0,0,0
BDTHAI,13.1,13.2,12.7,13.1,12.7,826,19.749,1513072
BDTHAIFOOD,13.6,13.8,13.4,13.6,13.5,308,4.477,329978
BDWELDING,10.2,10.4,10.2,10.2,10.1,28,0.266,25980
BEACHHATCH,60.3,62.3,58,60.3,61.8,7381,301.354,5040384
BEACONPHAR,116,117,112.9,115.9,115.9,350,4.683,40392
BENGALWTL,17.4,17.7,17.3,17.4,17.4,257,1.888,108278
BERGERPBL,1790,1800,1774,1789,1788.2,52,1.717,960
BESTHLDNG,16.6,16.9,16.5,16.6,16.4,876,22.986,1377651
BEXIMCO,0,0,0,110.1,110.1,0,0,0
BGIC,32.4,32.7,32.3,32.5,32.2,25,0.267,8237
BIFC,6.5,6.8,6.5,6.5,6.6,41,0.231,35281
BNICL,39.8,40.5,39.7,39.9,40.3,116,1.624,40562
BPML,33.2,35.3,32.8,33.2,33.8,1130,18.138,535797
BPPL,12.3,12.3,12.3,12.3,11.2,247,12.77,1038249
BRACBANK,50.6,50.8,49.9,50.6,50,430,36.185,719408
BSC,95.9,96.4,93,95.9,92.7,3142,136.699,1437466
BSCPLC,126.2,127,125.1,126,125.5,94,2.511,19980
BSRMLTD,73.4,74.1,71.1,73.4,73.9,208,3.051,41536
BSRMSTEEL,53.3,53.5,52.9,53.3,52.9,228,4.348,81860
BXPHARMA,94.8,96.2,92.6,94.8,93.5,1561,78.361,827096
CAPITECGBF,7.8,7.9,7.4,7.8,7.4,735,28.922,3783469
CAPMBDBLMF,9.3,9.3,9,9.3,9.2,143,5.055,547025
CAPMIBBLMF,8.3,8.4,8.1,8.3,8,73,1.063,129589
CENTRALINS,29.1,29.9,27.2,29.1,29.6,269,9.192,315453
CENTRALPHL,11,11.4,10.9,11,11.2,393,6.351,575463
CITYBANK,22.9,23,22.8,22.9,23,466,112.491,4910172
CITYGENINS,30.6,30.8,29.4,30.6,29.9,233,1.783,59015
CLICL,49.7,50.1,48,49.7,49.2,235,5.442,109461
CNATEX,3.6,3.6,3.4,3.6,3.4,79,0.528,149466
CONFIDCEM,52.1,53,51.8,52.1,52.9,335,7.377,141099
CONTININS,23.7,23.9,23.1,23.7,23.4,258,7.049,298853
COPPERTECH,19.1,19.5,18.9,19.1,19.3,182,2.618,137097
CROWNCEMNT,47.6,48.6,47.1,47.6,47.3,41,0.587,12367
CRYSTALINS,40.7,41.2,40.2,40.7,41.1,741,13.581,333776
CVOPRL,150.6,152.9,150.1,150.6,152,553,13.002,85854
DACCADYE,16.7,16.7,16.4,16.6,16.5,100,1.097,66388
DAFODILCOM,58.1,58.8,58,58.1,57.9,11,0.079,1352
DBH,34.3,34.7,34,34.3,33.9,119,2.009,58554
DBH1STMF,4.3,4.4,4.3,4.3,4.2,116,1.505,349665
DELTALIFE,72.5,72.7,70.6,72.5,71,296,3.902,54184
DELTASPINN,6,6.4,6,6,6.2,233,4.769,775708
DESCO,23.4,24.1,23.3,23.4,23.8,250,2.691,114088
DESHBANDHU,18,18.6,17.8,18,17.9,844,15.416,846559
DGIC,27.3,27.6,26.5,27.3,27.1,841,16.531,606973
DHAKABANK,9.8,9.8,9.7,9.7,9.8,128,4.44,456328
DHAKAINS,35.8,36.3,35.4,35.6,35.5,56,0.345,9644
DOMINAGE,10.8,11.2,10.7,10.8,11,346,9.647,886723
DOREENPWR,27.3,28.8,27,27.3,27.8,2135,55.003,1984679
DSHGARME,65.7,68.9,65.5,65.7,65.6,40,0.2,2993
DSSL,10,10.2,9.9,10,10.2,488,11.939,1188609
DULAMIACOT,75.1,76.7,75,75.1,75.2,25,0.265,3534
DUTCHBANGL,43.9,43.9,41.9,43.9,42.8,276,3.012,69021
EASTERNINS,41.2,42.7,41,41.2,41.5,87,0.74,17881
EASTLAND,18.4,19.1,18.2,18.4,18.5,70,1.577,85642
EASTRNLUB,2239.3,2239.3,2101,2239.3,2132.7,1953,41.407,18823
EBL,20.9,21,20.8,20.9,20.9,374,43.147,2070420
EBL1STMF,5.3,5.5,5.2,5.3,5.3,214,4.2,793253
EBLNRBMF,3.6,3.7,3.6,3.6,3.6,25,0.432,118925
ECABLES,105.6,106.5,105,105.6,106.4,220,2.059,19495
EGEN,20.4,20.9,20.2,20.4,20.8,329,7.625,372103
EHL,75.9,76.4,73.5,75.9,73.8,1250,37.016,493950
EIL,50.4,50.4,45.1,50.4,48.2,772,14.944,305261
EMERALDOIL,22.1,23,22,22.1,22.6,420,5.726,253945
ENVOYTEX,41.8,42.9,41.7,41.8,42.3,125,3.405,81256
EPGL,19,20.5,18.8,19,20.3,1736,30.474,1561900
ESQUIRENIT,21.7,22.3,21.7,21.7,21.9,61,0.745,34161
ETL,9.4,9.7,9.3,9.4,9.5,446,9.937,1052382
EXIM1STMF,3.7,3.7,3.5,3.7,3.6,74,2.037,559553
EXIMBANK,5.5,5.8,5.2,5.5,5.7,264,3.664,671852
FAMILYTEX,2.5,2.5,2.4,2.4,2.5,27,0.353,147047
