TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
1JANATAMF,2.8,2.9,2.7,2.8,2.8,40,0.457,165296
1STPRIMFMF,20,20.3,19.9,20,20.1,285,7.362,367748
AAMRANET,19.4,19.5,18.9,19.1,19,121,2.317,121756
AAMRATECH,12.3,13.2,11.8,12.1,12,42,0.243,19137
ABB1STMF,2.9,3,2.8,2.9,2.9,62,0.406,140009
ABBANK,5,5.1,4.9,5,5,186,1.868,372968
ACFL,18.8,18.9,18.4,18.6,18.6,34,0.66,35755
ACI,174.8,183.3,172.9,174.8,179.7,420,8.015,45608
ACIFORMULA,133.1,136.2,132.5,133.1,136.3,212,3.041,22596
ACMELAB,75.3,76.3,75.1,75.3,75.2,275,7.032,93010
ACMEPL,15.5,15.8,15.4,15.5,15.5,352,10.702,685682
ACTIVEFINE,7,7,6.9,6.9,7,37,0.239,34499
ADNTEL,62.6,63.8,61.9,62.6,63.2,453,11.304,179994
ADVENT,14.4,14.5,14.3,14.4,14.3,84,1.772,123062
AFCAGRO,5.4,5.6,5.3,5.3,5.5,39,0.215,39831
AFTABAUTO,35,35.3,34.2,34.6,34.8,263,5.268,151610
AGNISYSL,22.4,23,22.3,22.4,22.7,580,12.654,562436
AGRANINS,22.5,23.2,22.4,22.5,22.9,193,2.243,98886
AIBL1STIMF,3.7,3.9,3.7,3.7,3.8,55,0.82,219940
AIL,47.2,49.4,46.9,47.2,48.3,857,16.988,355017
AL-HAJTEX,133.5,141.9,132.5,133.5,139.8,519,11.371,82711
ALARABANK,14.7,14.9,14.5,14.6,14.9,51,0.129,8816
ALIF,4.3,4.4,4.2,4.3,4.3,107,0.871,201519
ALLTEX,13.8,14.1,13.5,13.7,13.7,33,0.299,21855
AMANFEED,23.2,24.1,23,23.2,23.8,309,4.417,188078
AMBEEPHA,794.9,795,781,789.8,786.6,150,3.459,4376
AMCL(PRAN),206.7,213.5,205,206.7,211.4,79,1.06,5090
ANLIMAYARN,19,20,19,19,19.8,36,0.459,23700
ANWARGALV,101.1,103,94.1,101.1,94.5,5874,219.309,2210848
AOL,14.4,15,14.3,14.4,14.4,59,1.046,72748
APEXFOODS,213.8,221.9,210,213.8,219.4,190,2.759,12777
APEXFOOT,193.2,195.8,192.3,193.2,193.3,483,12.883,66579
APEXSPINN,136.9,142.4,135.8,136.9,139,434,9.604,69552
APEXTANRY,57.7,59,57.7,57.9,58.7,68,0.402,6915
APOLOISPAT,2.4,2.4,2.3,2.3,2.3,41,0.143,61909
ARAMIT,209.3,212,203,206.7,207,183,2.881,13887
ARAMITCEM,10.2,10.7,10.1,10.2,10.5,40,0.27,26285
ARGONDENIM,17.9,18.3,17.9,17.9,18,260,6.435,357190
ASIAINS,27.4,28.4,27.3,27.4,28,240,3.445,124621
ASIAPACINS,31.3,32.3,31.2,31.3,31.6,25,0.58,18543
ASIATICLAB,60.1,62,59.8,60.1,60.9,1428,65.647,1078806
ATCSLGF,0,0,0,7.5,7.5,0,0,0
ATLASBANG,54.8,58.9,54.8,56.9,55.5,39,0.318,5660
AZIZPIPES,47,50.1,46.2,47,47,31,0.062,1324
BANGAS,106.9,112.5,106.2,106.6,110.2,372,5.185,47638
BANKASIA,17.7,17.9,17.6,17.7,17.7,82,3.784,213250
BARKAPOWER,6.2,6.5,6.1,6.2,6.4,148,1.208,193461
BATASHOE,870,879,868.5,875.6,868.1,21,0.151,172
BATBC,248.2,253.5,248,248.2,252.5,1844,33.991,136155
BAYLEASING,3.9,4,3.8,3.9,3.9,14,0.07,17901
BBS,8.8,9.2,8.8,8.8,9,212,2.962,334587
BBSCABLES,14.5,14.9,14.5,14.5,14.7,201,2.683,183865
BDAUTOCA,105.7,112.3,104.6,105.7,110.2,435,5.58,51423
BDCOM,25.2,26.2,25.1,25.2,26,474,9.756,379447
BDFINANCE,15.4,15.7,15,15.4,15.2,306,5.675,370338
BDLAMPS,130.6,136.6,129.3,130.6,136.8,389,2.933,22210
BDSERVICE,0,0,0,5.2,5.2,0,0,0
BDTHAI,10.3,10.6,10.2,10.3,10.4,162,2.277,220302
BDTHAIFOOD,11.2,11.6,11.1,11.2,11.3,272,4.22,375036
BDWELDING,8.3,8.8,8.2,8.3,8.5,20,0.146,17530
BEACHHATCH,50.7,52.4,50.5,50.7,51.6,1794,52.383,1017388
BEACONPHAR,107.4,111.8,106.6,107.4,109,785,16.983,156837
BENGALWTL,17.7,17.9,17.5,17.7,17.6,98,1.986,112392
BERGERPBL,1424.7,1429.6,1424.2,1424.7,1425.5,185,2.829,1985
BESTHLDNG,14.3,14.9,14.2,14.3,14.6,547,5.738,397784
