TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
1JANATAMF,4.5,4.5,4.3,4.5,4.4,34,0.129,28733
1STPRIMFMF,34.5,35.2,34,34.5,34.7,154,6.323,183851
AAMRANET,39.7,40.4,39.5,39.7,39.7,362,5.665,142582
AAMRATECH,28.4,28.5,28,28.3,28.2,62,0.76,26934
ABB1STMF,4.6,4.6,4.5,4.6,4.6,11,0.11,23996
ABBANK,9.9,10.2,9.7,9.9,9.9,431,17.278,1743597
ACFL,22.7,22.9,22.2,22.5,22.5,22,0.666,29613
ACI,156.1,159.2,155,156.1,157.7,122,2.024,12987
ACIFORMULA,136,137,135.4,135.7,135.1,48,0.433,3192
ACMELAB,75,76,74.7,75,75.8,370,7.569,100797
ACMEPL,25.5,25.8,25,25.5,25.1,1142,37.593,1475445
ACTIVEFINE,15.9,16.3,15.8,15.9,15.9,293,7.59,474758
ADNTEL,116.5,122,115,116.5,117.8,255,4.548,38698
ADVENT,28.5,29.4,28.3,28.5,28.8,1257,40.453,1403010
AFCAGRO,17.1,17.8,16.8,16.9,16.6,206,2.93,172797
AFTABAUTO,50.3,53.7,50,50.3,52.7,2443,79.339,1541871
AGNISYSL,26.9,27.9,26.6,26.9,27.3,713,27.097,993751
AGRANINS,38.3,39.9,38.1,38.3,38,133,1.881,48582
AIBL1STIMF,9.7,9.8,9.5,9.7,9.6,95,11.524,1193250
AIL,94.7,95.9,93.2,94.7,94.3,1674,87.006,921181
AL-HAJTEX,162.5,163.9,158.6,162.2,161.1,125,4.046,25179
ALARABANK,24,24.1,24,24,24,25,2.34,97436
ALIF,11,11.3,11,11,11.1,314,5.425,488863
ALLTEX,15.2,15.7,14.6,15,14.6,60,0.997,66759
AMANFEED,31.4,32,31,31.4,31.5,189,3.806,120397
AMBEEPHA,786.5,792.2,786.5,791.1,790.7,38,0.666,842
AMCL(PRAN),248.1,250.1,245.5,248.4,246.4,64,1.002,4035
ANLIMAYARN,42.7,45.3,42.4,42.7,44.4,290,7.515,170897
ANWARGALV,160.5,168.7,157,160.5,165.6,1088,20.486,125666
AOL,29,29.9,27.5,29,27.5,2099,63.131,2185502
APEXFOODS,308,311.8,306,306.6,308.6,171,3.384,11005
APEXFOOT,247.1,254.4,247.1,247.7,248.9,133,1.158,4638
APEXSPINN,116,120.5,116,116.6,118.2,136,2.191,18731
