TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
1JANATAMF,2.6,2.7,2.5,2.6,2.7,150,1.471,563443
1STPRIMFMF,18.7,19.5,18.5,18.7,19.5,568,7.72,406125
AAMRANET,17.5,18.3,17.4,17.6,17.8,133,1.553,87035
AAMRATECH,11.1,12.2,11,11.1,11.1,48,0.46,40985
ABB1STMF,2.7,3,2.7,2.7,2.9,246,7.056,2555416
ABBANK,4.4,4.8,4.3,4.4,4.7,595,9.776,2153940
ACFL,19.9,20.5,19.8,19.9,20.2,252,6.974,348081
ACI,180,182.5,179,181.6,178.5,551,7.337,40425
ACIFORMULA,131.6,132.9,130,131.1,131.6,195,1.457,11101
ACMELAB,73.3,74.8,73,73.3,74.3,455,5.688,76958
ACMEPL,17.1,17.5,16.6,17.1,17,750,51.19,3024327
ACTIVEFINE,6.4,6.8,6.4,6.4,6.7,88,1.089,166558
ADNTEL,60.7,62.4,60.5,60.7,62.1,550,8.388,137118
ADVENT,13.7,14,13.7,13.7,13.8,160,1.624,117666
AFCAGRO,5.5,5.6,5.3,5.5,5.5,62,0.301,54674
AFTABAUTO,36.3,38,36,36.3,37.6,1906,48.437,1313112
AGNISYSL,21.6,22.3,21.5,21.6,22.1,626,9.603,440474
AGRANINS,21.6,21.9,21.5,21.6,21.9,134,1.258,58262
AIBL1STIMF,3.4,3.7,3.4,3.4,3.7,227,3.035,883026
AIL,45.7,47.4,45.6,45.7,46.7,911,23.972,515063
AL-HAJTEX,136.7,138.9,132.3,136.7,132.3,1853,49.548,361192
ALARABANK,16.7,17.2,16.6,16.7,16.9,66,0.545,32586
ALIF,4.3,4.5,4.2,4.3,4.3,139,0.705,165756
ALLTEX,13.5,13.9,13.2,13.4,13.6,86,1.319,97798
AMANFEED,25.9,26.5,25.8,25.9,26.3,818,30.79,1179826
AMBEEPHA,773.1,793.5,762.7,773.1,782.2,36,0.884,1143
AMCL(PRAN),209.2,215,208.5,209.2,212.4,62,0.929,4402
ANLIMAYARN,19,19.7,18.9,19.2,18.9,7,0.054,2832
ANWARGALV,94.2,99,93.5,94.2,96.7,3510,94.788,982716
AOL,14.4,15.1,14.4,14.6,14.7,44,0.735,50244
APEXFOODS,218.3,224,217.6,218.3,215.6,552,6.142,27764
APEXFOOT,190.5,192.3,190.3,190.5,190.1,431,9.493,49729
APEXSPINN,159.5,165.8,158.1,159.5,163.3,644,16.158,100052
APEXTANRY,56.9,58,56.9,57.2,57.3,60,1.058,18433
APOLOISPAT,2.2,2.4,2.2,2.2,2.4,119,0.828,362402
ARAMIT,190.1,194.9,189,190.1,190.4,143,1.62,8471
ARAMITCEM,9.4,9.8,8.8,8.8,9.5,52,0.256,27653
ARGONDENIM,18.2,18.7,18.1,18.2,18.4,268,9.982,545141
ASIAINS,26.8,27.9,26.2,26.8,27.7,158,2.37,87402
ASIAPACINS,30.8,31.6,30.2,30.4,31,198,6.521,210894
ASIATICLAB,53.3,53.7,52,53.3,51.8,1157,51.269,964786
ATCSLGF,0,0,0,7.5,7.5,0,0,0
ATLASBANG,53,53.4,52.9,53.1,52.7,6,0.159,3000
AZIZPIPES,45.6,46.7,45,45.6,45.2,45,0.227,4971
BANGAS,108.5,114,106.3,108.5,105.7,810,11.383,103442
BANKASIA,18.6,18.8,18.6,18.6,18.7,104,7.878,423525
BARKAPOWER,7.5,7.8,7.5,7.5,7.7,231,3.257,431379
BATASHOE,816.6,817.8,815,816.6,813.8,48,0.532,651
BATBC,251.2,256.7,250.6,251.2,254,1210,18.64,73970
BAYLEASING,3.1,3.3,3.1,3.1,3.3,35,0.247,78001
BBS,8.6,8.8,8.5,8.6,8.7,168,1.574,181792
BBSCABLES,14.2,14.6,14.1,14.2,14.5,176,2.435,169950
BDAUTOCA,122,123,120,122,118.6,646,8.557,70313
BDCOM,25.9,27.4,25.6,25.9,27,938,20.89,791250
BDFINANCE,14.4,14.8,14.2,14.2,14.5,144,4.083,283733
BDLAMPS,130,135,128.6,130,129.7,233,2.947,22326
BDSERVICE,0,0,0,5.2,5.2,0,0,0
BDTHAI,10.2,10.6,10,10.2,10.4,502,11.073,1078959
BDTHAIFOOD,11.6,11.6,10.5,11.6,10.6,552,13.866,1236913
BDWELDING,9.9,10,9.6,9.9,9.6,159,1.547,157951
BEACHHATCH,51.4,54.3,51,51.4,53.4,2401,84.165,1596119
BEACONPHAR,108,110.7,107.6,108,109.9,740,13.942,127835
BENGALWTL,17.4,18.2,17.4,17.6,18,127,2.381,133437
BERGERPBL,1422,1428.3,1422,1422.3,1426.7,101,1.062,745
BESTHLDNG,14.4,14.8,14.3,14.4,14.5,495,9.637,661573
BEXIMCO,0,0,0,110.1,110.1,0,0,0
BGIC,31.5,34,31.5,31.7,32.5,137,1.372,42805
BIFC,2.6,2.7,2.5,2.5,2.7,40,0.247,98884
BNICL,44.3,46.7,44,44.3,46.4,367,9.106,201500
BPML,27,27.8,26,26.5,27.3,127,1.126,42407
BPPL,16.2,16.8,16,16.2,16.7,2375,90.254,5472955
BRACBANK,65.8,66,65.6,65.8,65.8,487,25.017,380172
BSC,106.4,108.5,104,106.4,107.8,1226,38.218,357300
BSCPLC,129.3,132.9,129,129.5,131.6,472,7.534,57871
BSRMLTD,77.2,78.9,76.9,77.2,78.3,188,4.067,52434
BSRMSTEEL,64.3,65,64.3,64.3,64.5,127,1.721,26723
BXPHARMA,111.5,114.1,111,111.5,113.1,625,13.843,123085
CAPITECGBF,7,7.3,7,7,7.2,294,7.812,1104559
CAPMBDBLMF,10.4,10.5,9.9,10.4,10.3,409,8.195,800135
CAPMIBBLMF,6.6,6.8,6.5,6.6,6.6,54,0.307,46567
CENTRALINS,37.2,38.6,36.9,37.2,38.1,241,3.363,88939
CENTRALPHL,9.2,9.6,9.2,9.2,9.3,372,4.064,435695
CITYBANK,24.2,24.4,24.1,24.2,24.3,631,37.769,1557248
CITYGENINS,76.1,76.6,75.9,76.2,76.3,194,14.3,187618
CLICL,46.1,47.9,46,46.1,47.6,386,9.209,196487
CNATEX,2.5,2.6,2.4,2.5,2.6,73,0.366,144623
CONFIDCEM,51.9,52.7,51.7,51.9,52.3,272,5.797,111347
CONTININS,23.7,24.5,23.6,23.7,24.3,168,1.831,76597
COPPERTECH,18.7,19.8,18.5,18.7,19.6,176,3.491,182449
CROWNCEMNT,49,50.1,48.9,49,50,72,0.611,12363
